match_level,match_rule,name_similarity,ean_to_copy_to_vandra,ean_copy_reason,haapsalu_name,haapsalu_brand,haapsalu_size_text,haapsalu_price,haapsalu_image_url,haapsalu_url,haapsalu_ean_raw,vandra_name,vandra_brand,vandra_size_text,vandra_price,vandra_image_url,vandra_url,vandra_ean_raw,haapsalu_chain,haapsalu_channel,haapsalu_store_host,haapsalu_city_path,haapsalu_category_name,haapsalu_ext_id,haapsalu_manufacturer,haapsalu_currency,haapsalu_description,haapsalu_scraped_at,haapsalu_name_clean,haapsalu_brand_clean,haapsalu_size_norm,haapsalu_name_key,haapsalu_first2,haapsalu_first1,vandra_chain,vandra_channel,vandra_store_host,vandra_city_path,vandra_category_name,vandra_ext_id,vandra_manufacturer,vandra_currency,vandra_description,vandra_scraped_at,vandra_name_clean,vandra_brand_clean,vandra_size_norm,vandra_name_key,vandra_first2,vandra_first1
medium,"block(first2,size)+fuzzy>=0.95",0.9666666666666667,4742024110131,from_haapsalu_match,Kodutalu õrrekana munad M 10tk,Kodutalu,10tk,2.589999999999999857891452847979962825775146484375,,https://coophaapsalu.ee/toode/kanamunad-m-10tk-2/,4742024110131,Kodutalu õrrekana munad L 10tk,Kodutalu,10tk,0.289999999999999980015985556747182272374629974365234375,,https://vandra.ecoop.ee/et/toode/22885404-kodutalu-orrekana-munad-l-10tk,,,,coophaapsalu.ee,,,4742024110131,Sanlind OÜ,EUR,,2025-09-18 00:16:04.752528+00,kodutalu õrrekana munad m 10tk,kodutalu,10tk,10tk kodutalu m munad õrrekana,kodutalu õrrekana,kodutalu,,,vandra.ecoop.ee,,,22885404,Sanlind OÜ,EUR,,2025-10-09 09:03:54.430932+00,kodutalu õrrekana munad l 10tk,kodutalu,10tk,10tk kodutalu l munad õrrekana,kodutalu õrrekana,kodutalu
medium,"block(first2,size)+fuzzy>=0.95",0.95,7393714377012,from_haapsalu_match,Kopparberg Wildberries siider 4.5% 0.5L,Kopparberg,0.5L,2.649999999999999911182158029987476766109466552734375,,https://coophaapsalu.ee/toode/kopparberg-wildberries-siider-4-5-0-5l/,7393714377012,Kopparberg Wildberries siider 4.5% vol 0.5L,Kopparberg,0.5L,5.0999999999999996447286321199499070644378662109375,,https://vandra.ecoop.ee/et/toode/12864590-kopparberg-wildberries-siider-45-vol-05l,,,,coophaapsalu.ee,,,7393714377012,Kopparbergs Brewery,EUR,,2025-09-18 00:16:04.752528+00,kopparberg wildberries siider 4.5% 0.5l,kopparberg,0.5l,0.5l 4.5 kopparberg siider wildberries,kopparberg wildberries,kopparberg,,,vandra.ecoop.ee,,,12864590,Kopparbergs Brewery,EUR,,2025-10-09 13:57:52.523613+00,kopparberg wildberries siider 4.5% vol 0.5l,kopparberg,0.5l,0.5l 4.5 kopparberg siider vol wildberries,kopparberg wildberries,kopparberg
medium,"block(first2,size)+fuzzy>=0.95",0.9620253164556962,8720608011919,from_haapsalu_match,Lipton English Breakfast m/tee 25*1.8g,Lipton,1.8g,2.75,,https://coophaapsalu.ee/toode/engl-breakfast-251-8g/,8720608011919,Lipton English Breakfast must tee 25*1.8g,Lipton,1.8g,0,,https://vandra.ecoop.ee/et/toode/19534372-lipton-english-breakfast-must-tee-2518g,,,,coophaapsalu.ee,,,8720608011919,Unilever Polska Sp. z o.o,EUR,,2025-09-18 01:40:06.529333+00,lipton english breakfast m/tee 25*1.8g,lipton,1.8g,1.8g 25 breakfast english lipton m tee,lipton english,lipton,,,vandra.ecoop.ee,,,19534372,Unilever Polska Sp. z o.o,EUR,,2025-10-08 21:50:21.587627+00,lipton english breakfast must tee 25*1.8g,lipton,1.8g,1.8g 25 breakfast english lipton must tee,lipton english,lipton
medium,"block(first2,size)+fuzzy>=0.95",0.963855421686747,8720608014248,from_haapsalu_match,Lipton marjatee 20*1.7g grapefruit-apels,Lipton,1.7g ,3.04999999999999982236431605997495353221893310546875,,https://coophaapsalu.ee/toode/lipton-marjatee-201-7g-grapefruit-apels/,8720608014248,Lipton marjatee 20*1.7g grapefruit-apelsini,Lipton,1.7g ,89.7099999999999937472239253111183643341064453125,,https://vandra.ecoop.ee/et/toode/23104085-lipton-marjatee-2017g-grapefruit-apelsini,,,,coophaapsalu.ee,,,8720608014248,Orbico Sp. z o.o.,EUR,,2025-09-18 01:40:06.529333+00,lipton marjatee 20*1.7g grapefruit-apels,lipton,1.7g,1.7g 20 grapefruit-apels lipton marjatee,lipton marjatee,lipton,,,vandra.ecoop.ee,,,23104085,Orbico Sp. z o.o.,EUR,,2025-10-08 02:08:15.273892+00,lipton marjatee 20*1.7g grapefruit-apelsini,lipton,1.7g,1.7g 20 grapefruit-apelsini lipton marjatee,lipton marjatee,lipton
medium,"block(first2,size)+fuzzy>=0.95",0.975,7613032737115,from_haapsalu_match,Maggi juustu kiirsupp 19g saiakuubikute,Maggi,19g ,0.75,,https://coophaapsalu.ee/toode/juustu-kiirsupp-19g/,7613032737115,Maggi juustu kiirsupp 19g saiakuubikutega,Maggi,19g ,39.469999999999998863131622783839702606201171875,,https://vandra.ecoop.ee/et/toode/15617613-maggi-juustu-kiirsupp-19g-saiakuubikutega,,,,coophaapsalu.ee,,,7613032737115,Nestle Polska S.A.,EUR,,2025-09-17 23:55:44.52269+00,maggi juustu kiirsupp 19g saiakuubikute,maggi,19g,19g juustu kiirsupp maggi saiakuubikute,maggi juustu,maggi,,,vandra.ecoop.ee,,,15617613,Nestle Polska S.A.,EUR,,2025-10-07 01:42:54.229942+00,maggi juustu kiirsupp 19g saiakuubikutega,maggi,19g,19g juustu kiirsupp maggi saiakuubikutega,maggi juustu,maggi
medium,"block(first2,size)+fuzzy>=0.95",0.9523809523809523,7613032292232,from_haapsalu_match,Maggi Koorene kana kiirsupp 16g krutooni,Maggi,16g ,0.75,,https://coophaapsalu.ee/toode/kanapuree-kiirsupp-16g-2/,7613032292232,Maggi Koorene kana kiirsupp 16g krutoonidega,Maggi,16g ,46.86999999999999744204615126363933086395263671875,,https://vandra.ecoop.ee/et/toode/14393116-maggi-koorene-kana-kiirsupp-16g-krutoonidega,,,,coophaapsalu.ee,,,7613032292232,Nestle Polska S.A.,EUR,,2025-09-17 23:55:44.52269+00,maggi koorene kana kiirsupp 16g krutooni,maggi,16g,16g kana kiirsupp koorene krutooni maggi,maggi koorene,maggi,,,vandra.ecoop.ee,,,14393116,Nestle Polska S.A.,EUR,,2025-10-12 02:34:43.585365+00,maggi koorene kana kiirsupp 16g krutoonidega,maggi,16g,16g kana kiirsupp koorene krutoonidega maggi,maggi koorene,maggi
medium,"block(first2,size)+fuzzy>=0.95",0.9523809523809523,4740140300078,from_haapsalu_match,Manni mannavahupulber 200g maasikamaitse,Manni,200g ,1.850000000000000088817841970012523233890533447265625,,https://coophaapsalu.ee/toode/mannavaht-maasika-200g/,4740140300078,Manni mannavahupulber 200g maasikamaitseline,Manni,200g ,9.25,,https://vandra.ecoop.ee/et/toode/14706450-manni-mannavahupulber-200g-maasikamaitseline,,,,coophaapsalu.ee,,,4740140300078,Mikaado OÜ,EUR,,2025-09-17 23:55:44.52269+00,manni mannavahupulber 200g maasikamaitse,manni,200g,200g maasikamaitse mannavahupulber manni,manni mannavahupulber,manni,,,vandra.ecoop.ee,,,14706450,Mikaado OÜ,EUR,,2025-10-10 02:29:33.605349+00,manni mannavahupulber 200g maasikamaitseline,manni,200g,200g maasikamaitseline mannavahupulber manni,manni mannavahupulber,manni
medium,"block(first2,size)+fuzzy>=0.95",0.958904109589041,7622300589882,from_haapsalu_match,Marabou Küpsis 184g piimashokolaadiga,Marabou,184g ,4.4900000000000002131628207280300557613372802734375,,https://coophaapsalu.ee/toode/marabou-kupsis-184g-piimashokolaadiga/,7622300589882,Marabou Küpsis 184g piimašokolaadiga,Marabou,184g ,24.39999999999999857891452847979962825775146484375,,https://vandra.ecoop.ee/et/toode/22909591-marabou-kupsis-184g-piimasokolaadiga,,,,coophaapsalu.ee,,,7622300589882,Mondelez International Rootsi,EUR,,2025-09-18 01:11:19.155924+00,marabou küpsis 184g piimashokolaadiga,marabou,184g,184g küpsis marabou piimashokolaadiga,marabou küpsis,marabou,,,vandra.ecoop.ee,,,22909591,Mondelez International Rootsi,EUR,,2025-10-09 05:48:07.65738+00,marabou küpsis 184g piimašokolaadiga,marabou,184g,184g küpsis marabou piimašokolaadiga,marabou küpsis,marabou
medium,"block(first2,size)+fuzzy>=0.95",0.975609756097561,4740062555037,from_haapsalu_match,Marmiton halvaa 150g pistaatsia pähklite,Marmiton,150g ,2.25,,https://coophaapsalu.ee/toode/marmiton-halvaa-150g-pistaatsia-pahklite/,4740062555037,Marmiton Halvaa 150g pistaatsia pähklitega,Marmiton,150g ,15,,https://vandra.ecoop.ee/et/toode/22952815-marmiton-halvaa-150g-pistaatsia-pahklitega,,,,coophaapsalu.ee,,,4740062555037,Marmiton AS,EUR,,2025-09-18 01:11:19.155924+00,marmiton halvaa 150g pistaatsia pähklite,marmiton,150g,150g halvaa marmiton pistaatsia pähklite,marmiton halvaa,marmiton,,,vandra.ecoop.ee,,,22952815,Marmiton AS,EUR,,2025-10-09 05:48:07.65738+00,marmiton halvaa 150g pistaatsia pähklitega,marmiton,150g,150g halvaa marmiton pistaatsia pähklitega,marmiton halvaa,marmiton
medium,"block(first2,size)+fuzzy>=0.95",0.975609756097561,4740062750272,from_haapsalu_match,Marmiton vahvel Dessert 110g kakaokreemi,Marmiton,110g ,1.5500000000000000444089209850062616169452667236328125,,https://coophaapsalu.ee/toode/vahvel-dessert-110g/,4740062750272,Marmiton vahvel Dessert 110g kakaokreemiga,Marmiton,110g ,14.089999999999999857891452847979962825775146484375,,https://vandra.ecoop.ee/et/toode/13919024-marmiton-vahvel-dessert-110g-kakaokreemiga,,,,coophaapsalu.ee,,,4740062750272,Marmiton AS,EUR,,2025-09-18 01:11:19.155924+00,marmiton vahvel dessert 110g kakaokreemi,marmiton,110g,110g dessert kakaokreemi marmiton vahvel,marmiton vahvel,marmiton,,,vandra.ecoop.ee,,,13919024,Marmiton AS,EUR,,2025-10-09 13:56:40.22489+00,marmiton vahvel dessert 110g kakaokreemiga,marmiton,110g,110g dessert kakaokreemiga marmiton vahvel,marmiton vahvel,marmiton
