barbora_uid,barbora_name,barbora_brand,barbora_size,match_uid,match_name,match_brand,match_size,match_ean,store,similarity,size_diff_pct,tier
cb14dd895e26207105e1459cef4ee9a5,Leib Peremehe EESTI PAGAR 600g,EESTI PAGAR,600g,4740086021211,Eesti Pagar Peremehe Leib 600 G,Eesti Pagar,600 g,4740086021211,prisma,0.9836,0.0,strong
cb47b46149aa0d8a76cf17d57d35cd52,Kreemistritsel maasik.-rabar. EP 350g,EESTI PAGAR,350g,4740086028074,Eesti Pagar Maasika-Rabarberi Kreemistritsel Kardemoniga 350 G,Eesti Pagar,350 g,4740086028074,prisma,0.8288,0.0,medium
cc61ea96684453410bce86136d5f3f3e,"Turistieine sealihast MINU De Lux, 525g",MINU,525g,4743144003976,Minu de lux turistieine sealihast 525g,Minu,525 g,4743144003976,prisma,0.987,0.0,strong
cd4a6fb01e52eb4c0fe08ed3bc6a5ab7,"Taimne rasvavõie KEIJU soolane 70%, 400g",KEIJU,400g,6438207011613,"Keiju taimne rasvavõie 70%, 400 g",Keiju,400 g,6438207011613,prisma,0.9,0.0,strong
ce146ac678bbb1995d54c1c88f539386,Kons.hautatud sealiha MINU 250g,MINU,250g,4743144000647,Minu hautatud sealiha 250 g,Minu,250 g,4743144000647,prisma,0.8966,0.0,medium
cfa2a71fee64a8f4b95dfed4682fe0ec,Liköör VANA TALLINN 40% 500ml,VANA TALLINN,500,4740050002031,Vana Tallinn liköör 40%vol 500ml,Vana Tallinn,500 ml,4740050002031,prisma,0.9492,,strong
d023d26ddbcd3ed1fb4d4a7485477a9a,Külm.pitsaRISTORANTE Mozzarella g.v.370g,DR.OETKER,370g,4001724039112,Dr.Oetker pitsa mozzarella 355g,Dr.Oetker,355 g,4001724039112,prisma,0.7843,4.05,medium
d257ebb5c37994c0b21697dfedaca81c,Kons.turistieine veiselihast MINU 250g,MINU,250g,4743144000630,Minu turisti eine veiselihast 250 g,Minu,250 g,4743144000630,prisma,0.7945,0.0,medium
d263c5e43f4d40bc416c370161cf0533,Kaeraküpsis rosinatega VÄIKE VÄÄNIK 250g,VÄIKE VÄÄNIK,250g,4740320004536,Väike Väänik kaeraküpsis rosinaga 250 g,Väike Väänik,250 g,4740320004536,prisma,0.9589,0.0,strong
d3de22b61ca7ad799c56042d19670ea7,Jõhvika mahlajook PÕLTSAMAA 2L,PÕLTSAMAA,2L,4740029051473,Põltsamaa jõhvika mahlajook 2L,Põltsamaa,2 l,4740029051473,prisma,1.0,0.0,strong
d428fcf525795d80e8bb49d04514779c,Viin ABSOLUT Vodka 40% 500 ml,ABSOLUT,500 ml,7312040017072,Absolut vodka 40%vol 500ml,Absolut,500 ml,7312040017072,prisma,0.8364,0.0,medium
d4e0cfd28922b3a014ac4b83e4c55cb0,Ülepannikoogid MAMMA 350g,MAMMA,350g,4740184005892,Mamma .Õuna-Ülepannikoogid 350 G,Mamma,350 g,4740184005892,prisma,0.8837,0.0,medium
d4f897e9465c4de09e55aaa331faef23,"Puding ALMA kookose, 230g",ALMA,230g,4740125534313,"Puding kookose, ALMA, 230 g",Alma,230 g,4740125534313,prisma,0.8889,0.0,medium
d71224272b766e62d9b945b6a4001d7e,Tomatimahl AURA 1L,AURA,1L,4740051004287,Aura tomatimahl 1L,Aura,1 l,4740051004287,prisma,1.0,0.0,strong
d7f91dcdc52eb7a7747b245ad63f02d6,Liköör JÄGERMEISTER 35% 500ml,JÄGERMEISTER,500ml,4067700013057,Jägermeister liköör 35%vol 500ml,Jägermeister,500 ml,4067700013057,prisma,0.9492,0.0,strong
d8d68ad89518237d3c68c4766fd9f4dd,"Keefirijook HELLUS mango-apr.-avok.,170g",HELLUS,170g,4740036016601,"Keefirijook mango-aprikoos-avokaado, HELLUS, 170 g",Hellus,170 g,4740036016601,prisma,0.701,0.0,weak
daac9a20e2948c3f7b14680f2f534410,Viin VIRU VALGE 40% 1L,VIRU VALGE,1L,4740050002314,Viru Valge viin 40%vol 1L,Viru Valge,1 l,4740050002314,prisma,0.9362,0.0,strong
dbd18dc6d36f49dba13f566c1f2c45e7,KPN v.vein JOHANN BRUNNER Ries.Mosel 3L,JOHANN BRUNNER,3L,4044551037425,"Johann Brunner Riesling Mosel KPN vein 9,5%vol 3L",Johann Brunner,3 l,4044551037425,prisma,0.75,0.0,medium
dd8ffe6711ee4286645dc00d5027cde9,Rumm CAPTAIN MORGAN Dark 40% 500ml,CAPTAIN MORGAN,500,87000651289,Captain Morgan Dark rumm 40%vol 500ml,Captain Morgan,500 ml,87000651289,prisma,0.9577,,strong
de123369dcc6ee4f6fb163e6ae625858,"Pehme valge juust ATHENA Classic, 200g",ATHENA,200g,4740572004391,Athena pehme valge juust 200g,Athena,200 g,4740572004391,prisma,1.0,0.0,strong
de8a2634815271585439b1fb818760aa,Kodujuust Alma šok.tükk.lakt.vab.200g,ALMA,200g,4740125633238,"Alma laktoosivaba kodujuust šokolaaditükkidega, 200 g",Alma,200 g,4740125633238,prisma,0.6591,0.0,weak
ded3d5ed3b0690c2e573799d12c443fe,Röstsai Tosta EESTI PAGAR 500g,EESTI PAGAR,500g,4740086007222,Eesti Pagar Tosta! Röstisai 500 G,Eesti Pagar,500 g,4740086007222,prisma,0.9677,0.0,strong
df4ef954c1680ea09018e3361776a19e,Pagari kaeraröst EESTI PAGAR 430g,EESTI PAGAR,430g,4740086020900,Eesti Pagar Pagari Kaeraröst 430 G,Eesti Pagar,430 g,4740086020900,prisma,0.9851,0.0,strong
dfa98c05da03c2e2cec6c8f5ecffed62,Looduslik mineraalvesi EVIAN 1.5L,EVIAN,1500,3068320085005,"Evian looduslik mineraalvesi 1,5 L",Evian,1.5 l,3068320085005,prisma,0.9851,,strong
dfc4e93c1ae6445868c9ce6719bcc9ee,Tomatimahl AURA 1L,AURA,1000,4740051004287,Aura tomatimahl 1L,Aura,1 l,4740051004287,prisma,1.0,,strong
e00250f9787008f954c5f199067aeeee,"Mahetäispiim MO SAAREMAA Öko 3,8-4,4%,1L",MO SAAREMAA,1L,4740153600004,"Mo Saaremaa Öko mahetäispiim 3,8 - 4,4% 1L",Mo Saaremaa,1 l,4740153600004,prisma,0.875,0.0,medium
e03dc6f31bd1c66e9ce5a2c03abf0554,"Mango-apelsini smuuti PAI, 280ml",PAI,280ml,4740029052715,"Mango-banaani smuuti, PAI, 280 ml",Pai,280 ml,4740029052715,prisma,0.7945,0.0,medium
e0e1e109f03a9c754ce93edfe6aaf3b9,Brandy IMPERIAL XII VSOP 36% 700ml,IMPERIAL XII,700ml,4770033226741,Imperial XII VSOP Brandy 36%vol 500ml,Imperial XII,500 ml,4770033226741,prisma,0.9296,28.57,strong
e128793f9f431aac20b4f0f04720e0d7,Muu.alk.jk. APEROL Aperitivo 11% 700ml,APEROL,700ml,8002230000302,Aperol muu alkohoolne jook 11%vol 700ml,Aperol,700 ml,8002230000302,prisma,0.6234,0.0,weak
e1d7232545baafe66f70b81d7e212061,"Valge juust FITAKI Original, 500g",FITAKI,500g,4000504251225,"Fitaki juust Original, 500 g",Fitaki,500 g,4000504251225,prisma,0.918,0.0,strong
e22fdd22c89de2ffc45de8ac301db9d7,Muu.alk.jk. APEROL Aperitivo 11% 700ml,APEROL,700,8002230000302,Aperol muu alkohoolne jook 11%vol 700ml,Aperol,700 ml,8002230000302,prisma,0.6234,,weak
e2c28e5ee258e8d298a1f88bf9efe290,"Maasika-banaani smuuti PAI, 280ml",PAI,280ml,4740029052739,"Maasika-banaani smuuti, PAI, 280 ml",Pai,280 ml,4740029052739,prisma,0.9737,0.0,strong
