barbora_uid,barbora_name,barbora_brand,barbora_size,match_uid,match_name,match_brand,match_size,match_ean,store,similarity,size_diff_pct,tier
cdbc0efe063fb4460e7421687186c9e6,"Täisterajahu lavašš,120g",LAMELEIB,120g,,Lavash täisterajahu LameLeib 120g,Lameleib,120g,,rimi,0.9538,0.0,strong
ce1aeee97196dd35be7c7fa65366570e,"Kanafileesink kuubikud M&M, 250g",MAKS & MOORITS,250g,,Kanafileesink kuubikud M&M 250g,Maks & Moorits,250g,,rimi,1.0,0.0,strong
ce3a3e17434ba1fd60a63dd4e9faa2fd,"Viini šnitsel seavälisfileest RR, 400 g",RANNAROOTSI,400 g,,Šveitsi šnitsel seavälisfileest Rannarootsi 400g,Rannarootsi,400g,,rimi,0.8958,0.0,medium
ce455cf6c920f660e2400e8b5bac43f3,"Juust ATLEET Originaal viilutatud, 500g",VALIO ATLEET,500g,,Juust Atleet Eesti viilutatud 500g,Valio Atleet,500g,,rimi,0.8471,0.0,medium
ce6fc91e704f97c8acb5e69cf6533cd4,"Hapukapsas porgandiga EESTI AND, 800g",EESTI AND,,,Kapsasalat porgandiga Eesti And 750g,Eesti And,750g,,rimi,0.7792,,medium
cf40f682b04c811f1034e6523311f61a,"Koorene jogurt FARMI mustikatega, 400g",FARMI,400g,,Koorene jogurt mustika Farmi 400g,Farmi,400g,,rimi,0.9296,0.0,strong
cf4add09557e730d9983c75da1fd1f03,Lahustuv kohv Gold MERRILD 200g,MERRILD,200g,,Kohv lahustuv Merrild Gold 200G,Merrild,200G,,rimi,1.0,0.0,strong
cf91a1e364c5cd71d44ec18ec6d4c8d0,"Pitsasink M&M,250g",MAKS & MOORITS,250g,,Pitsasink Maks&Moorits 250g,Maks & Moorits,250g,,rimi,0.931,0.0,strong
cfa2a71fee64a8f4b95dfed4682fe0ec,Liköör VANA TALLINN 40% 500ml,VANA TALLINN,500,,Liköör Vana Tallinn 40% 1l,Vana Tallinn,1l,,rimi,0.9362,,strong
d023d26ddbcd3ed1fb4d4a7485477a9a,Külm.pitsaRISTORANTE Mozzarella g.v.370g,DR.OETKER,370g,,Pitsa Ristorante Mozzarella 355g,Dr.Oetker,355g,,rimi,0.8478,4.05,medium
d06896b25e2f72aec56a0c7d5d46069b,"Vürtsisealiha Frank Pott, 325g",FRANK POTT,325g,,Konserv Vürtsisealiha 325g,Frank Pott,325g,,rimi,0.9062,0.0,strong
d078119b90d9dd08d83e7834fe5c71c3,"Taimne dessert mustsõst.DEARY,150g",DEARY,150g,,Taimne dessert mustsõstra Tere Deary 150g,Deary,150g,,rimi,0.7879,0.0,medium
d09ce29c4d4f1f7acd565b817cd315e1,Liköör VANA TALLINN 40% 200ml,VANA TALLINN,500,,Liköör Vana Tallinn 40% 1l,Vana Tallinn,1l,,rimi,0.9362,,strong
d0e01512141a2bfb4a87c19b53b291b6,"Juust Royal Gouda VALIO Yellow, 300g",VALIO,300g,,Juust Royal Gouda Yellow Valio 300g,Valio,300g,,rimi,0.9859,0.0,strong
d0fccc4f669398dfdb820ac640c04041,"Täissuitsuvorst Moskva OSKAR, 210g",OSKAR,210g,,Täissuitsuvorst Moskva Oskar 210g,Oskar,210g,,rimi,1.0,0.0,strong
d175e6a76fce80ec60e122fc42a86697,"Võileivamääre FARMI hapukur.-tilli,150g",FARMI,150g,,Võileivamääre hapukurgi-tilli Farmi 150g,Farmi,150g,,rimi,0.8312,0.0,medium
d19b5b50dd42e54b0bb27cd952837d6c,Külm.pelmeenid kanalihaga VICI 400g,VICI,400g,,Pelmeenid kanaga Viči 400g,Vici,400g,,rimi,0.8182,0.0,medium
d1a3b8ae57f5cb97ee32839a12f0849f,"Sul.suitsujuustusnäkk RAMBYNO orig., 75",RAMBYNO,,,Suitsujuustu snäkk Rambyno 75g,Rambyno,75g,,rimi,0.8116,,medium
d1c0709863a7081322c9aaa358b1b719,"Salat potis, tk",GRÜNE FEE,,,Salat Tammeleht potis Grüne Fee tk,Grüne Fee,,,rimi,0.8372,,medium
d257ebb5c37994c0b21697dfedaca81c,Kons.turistieine veiselihast MINU 250g,MINU,250g,,Turistieine sealihast Minu 250g,Minu,250g,,rimi,0.6377,0.0,weak
d265aa2b5fefcca93a4ce902e1c84b08,"Jäätis mandliga vegan MAGNUM, 72g",MAGNUM,72g,,Pulgajäätis mandli Magnum Vegan 90ml/72g,Magnum,90ml,,rimi,0.7436,20.0,weak
d291f8038a26868c43dc939290bb002d,Karastusjook COCA-COLA 1.5L,COCA-COLA,5L,,"Karastusjook Coca-Cola 1,5l",Coca-Cola,"1,5l",,rimi,1.0,70.0,strong
d2faa961bb5618f2bbf92d7caae63c3d,"Grilljuust NÕO vürtsikas, 240g",NÕO,240g,,Juustused grillpihvid  vürtsikad Nõo 240g,Nõo,240g,,rimi,0.8,0.0,medium
d301e77a42af5dbdf60c21266a495048,"Jäätis Cappuccino, lakt.vab. LA MUU 250g",LA MUU,250g,,Jäätis Cappuccino laktoosivaba La Muu 250g/500ml,La Muu,250g,,rimi,0.8372,0.0,medium
d312a7f48a41b1cd9bc4ab44fea6e1bc,Roh.tee Goji Mustika LIPTON pür.20x1.4g,LIPTON,20x1,,Tee roheline goji&mustika Lipton 20pk,Lipton,,,rimi,0.7632,,medium
d360a4ddc4685484ab912bfc04da945a,Kuldne graham röstsai LEIBUR 500g,LEIBUR,500g,,Röstsai täistera Kuldne Leibur 500g,Leibur,500g,,rimi,0.8814,0.0,medium
d3690983c5a94a423e10f239dae64935,"Külm.pelmeenid seentega Gyoza, 400g",VICI,,,Pelmeenid Gyoza kana ja seentega Viči 400g,Vici,400g,,rimi,0.8276,,medium
d3bc4879245369f44449314240a14bfe,"Kodujuust TERE karulaugupestoga, 300g",TERE,300g,,Kodujuust karulaugupestoga Tere 300g,Tere,300g,,rimi,0.9863,0.0,strong
d3ca7e496beafe5123e975815cb41978,Jäätis Dubai šokolaadiga BOUJEE 55g,BOUJEE,55g,,Jäätis Boujee Dubai Chocolate 57ml/55g,Boujee,57ml,,rimi,0.7714,3.51,medium
