product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
423600,"Kohuke ALMA vaarika, 5x40g",,,,,,produce,produce_berries,high
423601,Liköör JAGDTRAUM 30% 700ml,,,"Barbora, Maxima",,,other,dry_other,fallback
423602,"Kohuke ALMA vaarika, 40g",,,,,,produce,produce_berries,high
423603,Külm.mahe rohum. hakkliha LIIVIMAA 500g,,,"Barbora, Maxima",,,meat_fish,meat_minced,high
423604,Külm. makroon RUD pistaatsia 60g,,,"Barbora, Maxima",,,other,dry_other,fallback
423605,"Jogurt GEFILUS maitsestamata 2.5%, 380g",,,,,,dairy_eggs_fats,dairy_yogurt_kefir,high
423606,"Juust Feta WELL DONE, 150g",,,"Barbora, Maxima",,,dairy_eggs_fats,dairy_cheese_slices,high
423607,"Juust EESTI viilutatud, 200g",,,,,,dairy_eggs_fats,dairy_cheese_slices,high
423608,"Valge juust APETINA Original, 200g",,,,,,drinks,drinks_spirits,high
423609,Kohvikapslid NESCAFÉ® Dolce Gusto® Café Au Lait Intenso 16tk,,,,,,drinks,drinks_coffee_beans_capsules,high
423610,Kohvikapslid NESCAFÉ® Dolce Gusto® Cappuccino 16tk,,,,,,drinks,drinks_coffee_beans_capsules,high
423611,Karastusj. Karl Friedrich Kali 1.5L pet,,,"Barbora, Maxima",,,drinks,drinks_soft_soda,high
423612,"Kali IMPERIAL 0,4L",,,"Barbora, Maxima",,,other,dry_other,fallback
423613,Kali TANHEISER tume Porter 1.5L,,,"Barbora, Maxima",,,other,dry_other,fallback
423614,"Kali RUGILE 1,5L",,,"Barbora, Maxima",,,other,dry_other,fallback
423615,"Juust ATLEET Light, 200g",,,"Barbora, Maxima",,,dairy_eggs_fats,dairy_cheese_slices,high
423616,Kapslid Cafe au Lait DG NESCAFE16x10g,,,"Barbora, Maxima",,,produce,produce_root_veg,high
