product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
125360,"Räimed koduses marinaadis 215 g neto, VIRU RAND, 430 g",,,Selver,,,sauces_oils,sauces_marinades,medium
125361,"Sprotid tomatikastmes, RANNAKÜLA, 100 g",MOBEC AS,,Selver,,,produce,produce_root_veg,high
125362,"Tallinna kilud, KALURI, 250 g",LÄÄTSA KALATÖÖSTUS AS,,"Barbora, Coop, Maxima, Rimi, Selver",,,other,other,low
125363,"Tuunikala filee oliivõlis, CALVO, 160 g",MOBEC AS,,Selver,,,meat_fish,fish_fresh,high
125364,"Saksapärane heeringasalat, SELVER, kg",SELVER AS,,Selver,,,produce,produce_herbs_salads_sprouts,high
125365,"Tuunikala filee tomatikastmes, CALVO, 160 g",MOBEC AS,,Selver,,,meat_fish,fish_fresh,high
125366,"Wakame salat ( sulatatud), SELVER, kg",SELVER AS,,Selver,,,produce,produce_herbs_salads_sprouts,high
125367,"Praetud heeringafilee koduses marinaadis, KALURI, 500 g",LÄÄTSA KALATÖÖSTUS AS,,Selver,,,sauces_oils,sauces_marinades,medium
125368,"Tuunikalatükid päevalilleõlis, CALVO, 142 g",MOBEC AS,,Selver,,,meat_fish,fish_fresh,high
125369,"Vinnutatud meritint, KALURI, 100 g",LÄÄTSA KALATÖÖSTUS AS,,Selver,,,other,other,low
125370,"Praetud heeringarullid tarrendis, KAPTEN GRANT, 480 g",KAPTEN GRANT OÜ,,Selver,,,meat_fish,fish_fresh,high
125371,"Tursamaks, STEINHAUER, 190 g",BALTIC PREMIER GROUP OÜ,,"Coop, Selver",,,other,other,low
125372,"Marineeritud heeringafilee Viking Matjes, KALAMAJAKAS, 510g",KALAMAJAKAS OÜ,,Selver,,,meat_fish,fish_fresh,high
125373,"Saaremaa vürtsikilud, KALURI, 250 g",LÄÄTSA KALATÖÖSTUS AS,,Selver,,,other,other,low
125374,"Tuunikala oliivõlis, RIO MARE, 160 g",INTERALTUS OÜ,,"Barbora, Maxima, Rimi, Selver",,,meat_fish,fish_fresh,high
125375,"Räimerullid juurviljadega marinaadis, VIRU RAND, 200 g",VIRU RAND OÜ,,"Coop, Selver",,,sauces_oils,sauces_marinades,medium
