product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence,final_food_group,final_sub_code,final_confidence,change_reason
27889,"Inglise sinep, 200 g",Inglise,200 g,other,"Coop, Prisma, Selver",,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
27940,Sini eko wc-hari,Sini,,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
27986,Jakobsen Coffee Time valikkompvekid,Jakobsen Coffee,,other,Prisma,,drinks_other,drinks,other,,heuristic,drinks,drinks_other,heuristic,
27993,Eskimo mikrokiudlapid rullis 20tk,Eskimo,20 pcs,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
28064,Vileda Supermocio 3 Action mopp varrega,Vileda Supermocio,,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
28097,La costena la costeña jalapenoviilud 199 g,La,199 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28215,Antibakteriaalne Universal disinfectant Neutral spray 100ml,Antibakteriaalne Universal,100 ml,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
28291,Coop Marmorkeeks 350 G,Coop Marmorkeeks,350 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28311,Europagar Stritsel 300 G,Europagar Stritsel,300 g,other,Prisma,,dry_other,other,bakery,bakery_cakes_pastries,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28333,Eesti Pagar Haputaina Röst 430 G,Eesti Pagar,430 g,other,"Coop, Prisma, Selver",,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28357,Eesti Pagar Pagari Kaeraröst 430 G,Eesti Pagar,430 g,other,"Coop, Prisma",,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28398,Eesti Pagar Tosta! Rukkiröst 390 G,Eesti Pagar,390 g,other,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28484,Happy swing happy tubes vahvlirullid vanilli 150 g,Happy,150 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28496,"Spirit Garden &ic Pomegranate<(>&<)>Rose muu alkohoolne jook 7,3% vol 750 ml",Spirit Garden,750 ml,other,"Coop, Prisma",,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
28532,Waffa Sofi rõngik Riina magus 200g,Waffa Sofi,200 g,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
28547,Reval Kondiiter Pavlova Beseekoogi Põhjad 8 X 22 G,Reval Kondiiter,8x22 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28613,Gullon suhkruvabad vaniljevahvlid 60 g,Gullon,60 g,other,"Coop, Prisma",,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28739,Taldmopi vahetuslapp ultramax 2in1,Taldmopi,,other,"Coop, Prisma",,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
28740,Europagar Pavlova Pesa 6 Tk 150 G,Europagar Pavlova,150 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28769,Waffa sofi kreeker mooni 250gr,Waffa,,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
28777,Rõngu Pagar Leopoldi Pallike 220 G,Rõngu Pagar,220 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28839,Maris Gilden küüslauguga krõbedad leivakesed 150 g,Maris Gilden,150 g,other,"Prisma, Selver",,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28926,Magus kõrsik 250g,Magus,250 g,other,"Coop, Prisma, Selver",,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
28927,COOP KREEMITÄIDISEGA KAKAO RULLBISKVIIT 300 G,COOP KREEMITÄIDISEGA,300 g,other,Prisma,,dry_other,other,sweets_snacks,sweets_biscuits_cookies,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
28989,Seesamihalvaa vaniljemaitsega 100g,Seesamihalvaa,100 g,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
29016,Värvipüüdja Casatrend 30Tk,Värvipüüdja Casatrend,30 pcs,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
