product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
123863,"Tomat lahtine, INTSU, kg",,,Selver,,,produce,produce_root_veg,high
123864,"Melon roheline, kg",Määramata,,Selver,,,produce,produce_tropical,high
123865,"Peet, kg",Määramata,,Selver,,,produce,produce_root_veg,high
123866,"Balsamico salatikaste, KÜHNE, 250 ml",KAUPMEES & KO AS,,Selver,,,sauces_oils,sauces_salad_dressings,high
123867,"Lihaveise täissuitsuvorst, RANNAROOTSI, 240 g",RANNAROOTSI LIHATÖÖSTUS AS,,"Coop, Rimi, Selver",,,meat_fish,meat_sausages,high
123868,"Gruusia leib Sothi, KILIKIA, 330 g",WORKSTAR OÜ,,"Coop, Selver",,,bakery,bakery_bread_loaves,high
123869,"Barbarissimaitseline karamell, KALEV, 120 g",ORKLA EESTI AS,,"Coop, Rimi, Selver",,,sweets_snacks,sweets_candies,high
123870,"Gruusia rahvusleib Puri, KILIKIA, 330 g",WORKSTAR OÜ,,"Barbora, Coop, Maxima, Rimi, Selver",,,bakery,bakery_bread_loaves,high
123871,"Hallituse eemaldaja, CILLIT, 750 ml",EUGESTA EESTI AS,,Selver,,,other,dry_other,fallback
123872,"Hapukoore-sibula maitselised maapähklid, ESTRELLA, 140 g",SELVER AS,,"Coop, Selver",,,dairy_eggs_fats,dairy_cream_sourcream,high
123873,Hardy's Cabernet Sauvignon 75 cl,LIVIKO AS,,Selver,,,drinks,drinks_wine,high
123874,"Sealihasnäkk, SELVER, 85 g",NÕO LIHATÖÖSTUS OÜ,,Selver,,,meat_fish,meat_pork,high
123875,"Poolsuitsuvorst Krakovi, NÕO, 270 g",NÕO LIHATÖÖSTUS OÜ,,"Coop, Rimi, Selver",,,meat_fish,meat_sausages,high
123876,"Aprikoos, kg",,,"Rimi, Selver",,,other,dry_other,fallback
123877,"Apelsinimaitseline täidisega karamell, KALEV, 120 g",ORKLA EESTI AS,,"Coop, Rimi, Selver",,,sweets_snacks,sweets_candies,high
123878,Hardy`s Crest Sauvignon Blanc 75 cl,LIVIKO AS,,Selver,,,other,dry_other,fallback
123880,Hardy`s Crest Shiraz 75 cl,LIVIKO AS,,Selver,,,drinks,drinks_wine,high
123881,"Frankfurter, RANNAROOTSI, 500 g",RANNAROOTSI LIHATÖÖSTUS AS,,"Barbora, Coop, Maxima, Rimi, Selver",,,meat_fish,meat_other,heuristic
123882,"Ässä Mix piimašokolaad, KARL FAZER, 200 g",FAZER EESTI OÜ,,"Coop, Selver",,,dairy_eggs_fats,dairy_milk,high
123883,"Aurutatud kikerherned, BONDUELLE, 425 ml",JUNGENT ESTONIA OÜ,,"Coop, Selver",,,dry_preserves,dry_groats_beans,high
123884,Hardy`s Mill Shiraz Main Road 202 75 cl,LIVIKO AS,,Selver,,,drinks,drinks_wine,high
123885,"Baklazaanipüree, VERES, 500 g",INTERALTUS OÜ,,Selver,,,other,dry_other,fallback
123886,"Brändi TORRES 10 Years Imperial, 50 cl",AMBER DISTRIBUTION ESTONIA OÜ,,Selver,,,drinks,drinks_spirits,high
123887,"Broilerilihast Jerky Sticks Parmigiano Reggiano juustuga, NÕO, 70 g",NÕO LIHATÖÖSTUS OÜ,,Selver,,,dairy_eggs_fats,dairy_cheese_slices,high
123888,"Broilerimaitseaine, ilma lisatud soolata, SANTA MARIA, 37 g",SANTA MARIA AS,,"Coop, Selver",,,world_spices,spices_basic_salt_pepper,high
123889,Hardy's Nottage Hill Chardonnay 75 cl,LIVIKO AS,,Selver,,,drinks,drinks_wine,high
123890,"7 lemmikut kommisegu, KALEV, 500 g",ORKLA EESTI AS,,"Coop, Rimi, Selver",,,sweets_snacks,sweets_candies,high
123891,"Marineeritud kapsas porgandiga, DIMDINI, 650g",Määramata,,"Coop, Selver",,,produce,produce_root_veg,high
123892,"Shiitake seened, 150 g",Määramata,,Selver,,,produce,produce_mushrooms,high
123893,"Lastevorst XL, MAKS&MOORITS, 300 g",ATRIA EESTI AS,,"Coop, Rimi, Selver",,,meat_fish,meat_sausages,high
123894,"Hardy's Shiraz Cabernet Sauvignon 18,7 cl",LIVIKO AS,,Selver,,,drinks,drinks_wine,high
123895,"American lentils piimašokolaad šokolaadidražeedega, KARL FAZER, 180 g",FAZER EESTI OÜ,,"Rimi, Selver",,,dairy_eggs_fats,dairy_milk,high
123896,"Pepperoni täissuitsuvorst, OSKAR, 210 g",OSKAR LT AS,,"Rimi, Selver",,,meat_fish,meat_sausages,high
123897,"Apelsinimaitseline pall tumedas šokolaadis, KALEV, 140 g",ORKLA EESTI AS,,"Coop, Rimi, Selver",,,sweets_snacks,sweets_chocolate_bars,high
123898,"Hardy`s Stamp Semillon Chardonnay 18,7 cl",LIVIKO AS,,Selver,,,drinks,drinks_wine,high
123899,Hardy`s Variental Range Pinot Grigio 75 cl,LIVIKO AS,,Selver,,,drinks,drinks_wine,high
123900,Hardy's VR Chardonnay 75 cl,LIVIKO AS,,Selver,,,drinks,drinks_wine,high
123901,"Lihakas Lastevorst, RAKVERE LK, 360 g",MAAG EESTI AS,,"Coop, Selver",,,meat_fish,meat_sausages,high
123902,Hardy's VR Shiraz 75 cl,LIVIKO AS,,Selver,,,drinks,drinks_wine,high
