product_id,name,brand,size_text,current_food_group,current_sub_code,category_1,category_2,category_3,source_url,image_url,last_seen_utc,food_group,sub_code,food_group_corrected,new_sub_code,confidence,reason,food_group_corrected_prev_v4,new_sub_code_prev_v4,confidence_prev_v4,reason_prev_v4
54549,Taffel American dipisegu 20 g,Taffel American,20 g,other,,,,,https://prismamarket.ee/en/toode/taffel-american-dipisegu-20-g/6410381095368,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6410381095368.jpg,2025-09-02 21:39:01.203463+00,other,,other,dry_other,low,no hard rule match,,,,
54601,"Mustika grill-ribi, RAKVERE LK, kg",Mustika,,other,,,,,https://prismamarket.ee/toode/mustika-grill-ribi-kg/2360364500003,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/2360364500003.jpg,2025-09-02 21:39:10.739584+00,other,,produce,produce_berries,high,berries,,,,
54627,"Apetit juurviljaribad, 180 g",Apetit,180 g,other,,,,,https://prismamarket.ee/en/toode/apetit-juurviljaribad-180-g/6430104920555,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6430104920555.webp,2025-11-04 02:06:00.161827+00,other,,other,dry_other,low,no hard rule match,,,,
54650,Karni Picanhasteik 200G,Karni Picanhasteik,200 g,other,,,,,https://prismamarket.ee/en/toode/karni-picanhasteik-200g/4740579520917,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740579520917.jpg,2025-09-27 09:33:19.169647+00,other,,other,dry_other,low,no hard rule match,,,,
54678,"Pasteet Karni, KARNI, 170 g",Pasteet,170 g,other,,,,,https://prismamarket.ee/toode/pasteet-170-g/4740579901617,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740579901617.jpg,2025-09-03 01:38:10.058407+00,other,,other,dry_other,low,no hard rule match,,,,
54679,"Ühepajatoit, 400 g","Ühepajatoit,",400 g,other,,,,,https://prismamarket.ee/en/toode/uhepajatoit-400-g/4740188900193,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740188900193.webp,2025-11-04 02:06:02.302245+00,other,,other,dry_other,low,no hard rule match,,,,
54691,UVIC Praetud VEGANIC Tseburekid 2tk/170 g,UVIC Praetud,170 g,other,,,,,https://prismamarket.ee/en/toode/uvic-praetud-veganic-tseburekid-2tk170-g/4740223020299,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740223020299.jpg,2025-09-03 01:38:15.650565+00,other,,other,dry_other,low,no hard rule match,,,,
54720,"Trühvli salaami, MATSIMOKA, 150 g",Trühvli,150 g,other,,,,,https://prismamarket.ee/toode/truhvli-salaami-150g/4744735010960,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4744735010960.jpg,2025-09-03 01:38:18.488692+00,other,,other,dry_other,low,no hard rule match,,,,
54724,Twister Marshmallow 80ml/73g,Twister Marshmallow,80 ml,other,,,,,https://prismamarket.ee/toode/twister-marshmallow-80ml73g/8711327661509,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/8711327661509.jpg,2025-09-03 01:38:20.994812+00,other,,other,dry_other,low,no hard rule match,,,,
54756,"Kotimaista juurviljasegu suppidele, 200 g",Kotimaista,200 g,other,,,,,https://prismamarket.ee/en/toode/kotimaista-juurviljasegu-suppidele-200-g/6414893138216,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6414893138216.jpg,2025-09-03 01:38:26.670363+00,other,,other,dry_other,low,no hard rule match,,,,
