product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected
3749,"Odrajahust pelmeenid kanakintsulihaga, 400g",Odrajahust,400 g,meat_fish,"Coop, Prisma, Rimi, Selver",,meat_poultry,meat_fish
21123,"Õllekrõps lõhe nahast, M.V.WOOL, 50 g",Õllekrõps,50 g,meat_fish,"Prisma, Selver",,sweets_snacks_salty,sweets_snacks
2385,Oriola reformi lihapuljongikuubik 96g mahe,Oriola,96 g,meat_fish,Prisma,,spices_broth_stock,world_spices
3926,Oriola reformi mahe kanapuljongikuubik 88g / 8tk,Oriola,88 g,meat_fish,Prisma,,spices_broth_stock,world_spices
123803,Oskar Kebab Lambalihaga 400G,Oskar Kebab,400 g,meat_fish,"Barbora, Maxima, Prisma, Selver",,meat_gourmet,meat_fish
3497,Oskar Lihaviiner E-Vaba 125 G,Oskar Lihaviiner,125 g,meat_fish,"Coop, Prisma, Rimi, Selver",,meat_sausages,meat_fish
607838,Oskar Mango-Tšilli Broilerikintsuliha 600G,Oskar Mango-Tšilli,600 g,meat_fish,Prisma,,meat_poultry,meat_fish
3339,Oskar Viiner Lambasooles Päris 350G,Oskar Viiner,350 g,meat_fish,"Barbora, Maxima, Prisma, Rimi",,meat_sausages,meat_fish
586376,"Otepää Lihatoostus Edgari Sink, Kg",Otepää Lihatoostus,,meat_fish,Prisma,,meat_hams,meat_fish
4096,Otepää Lihatoostus Lambaliha Kondiga Ürdises Kastmes 450G,Otepää Lihatoostus,450 g,meat_fish,Prisma,,meat_beef_lamb_game,meat_fish
1785,Otepää Lihatoostus Lambaliha Rosmariiniga Kg,Otepää Lihatoostus,,meat_fish,Prisma,,meat_beef_lamb_game,meat_fish
4433,"Otepää Lihatoostus Otepää Kerasink, Kg",Otepää Lihatoostus,,meat_fish,Prisma,,meat_hams,meat_fish
195514,Pad Thai kana ja nuudlitega,Pad Thai,,meat_fish,Prisma,,meat_poultry,meat_fish
1928,"Paneeritud kala hakitud fileest, 800g",Paneeritud,800 g,meat_fish,"Coop, Prisma, Rimi, Selver",,fish_fresh,meat_fish
33730,"Pasteet suitsulihakõrnetega, MATSIMOKA, 220 g",Pasteet,220 g,meat_fish,"Coop, Prisma, Rimi, Selver",,meat_other,meat_fish
272956,Pealinna Minifrikadellid kanalihaga 350g,Pealinna Minifrikadellid,350 g,meat_fish,"Coop, Prisma, Rimi",,meat_poultry,meat_fish
1559,Pealinna minipelmeenid kanalihaga 350g,Pealinna,350 g,meat_fish,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,meat_poultry,meat_fish
9373,Pekingi kana 300 g,Pekingi,300 g,meat_fish,Prisma,,meat_poultry,meat_fish
2163,Pelmeenid broilerilihaga 400g,Pelmeenid,400 g,meat_fish,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,meat_poultry,meat_fish
593091,Pepsodent hambapasta Xylitol 75ml,Pepsodent,75 ml,meat_fish,Prisma,,pcare_oral_care,personal_care
17076,Pepsodent ultra reach medium hambahari,Pepsodent,,meat_fish,Prisma,,pcare_other,personal_care
20512,Pesto Kanapasta 300 g,Pesto Kanapasta,300 g,meat_fish,Prisma,,meat_poultry,meat_fish
53024,Piiraskartano Lihapirukas 4 tk/400 g,Piiraskartano Lihapirukas,400 g,meat_fish,Prisma,,meat_other,meat_fish
41816,"Pillti lastetoit kartul ja lõhe kreemjas kastmes 250 g, alates 12-elukuust",Pillti,250 g,meat_fish,Prisma,,baby_other,baby
62708,"Piltti bataadi ja kanaga lastetoit 190 g, alates 6-elukuust",Piltti,190 g,meat_fish,Prisma,,baby_other,baby
18828,"Piltti bataat veiselihaga 190g, alates 6-elukuust",Piltti,190 g,meat_fish,Prisma,,baby_other,baby
41819,"Piltti kartuli-lihapada lastetoit 190 g, alates 8-elukuust",Piltti,190 g,meat_fish,Prisma,,baby_other,baby
45225,"Piltti kartulipuder lõhega lastetoit 200 g, alates 8-elukuust",Piltti,200 g,meat_fish,Prisma,,baby_other,baby
116566,"Piltti kartulipüree-hakklihavorm 1-3 aastastele lastele, 190 g",Piltti,190 g,meat_fish,Prisma,,baby_other,baby
63620,"Piltti kartulipüree lihapallidega ja pohladega lastele alates 8- elukuust, 190 g",Piltti,190 g,meat_fish,Prisma,,baby_other,baby
117997,"Piltti kuskuss lõhega 190g, alates 1-eluaastast",Piltti,190 g,meat_fish,Prisma,,baby_other,baby
44795,PILTTI täisterapasta veiseliha 250G 1-3a,PILTTI,250 g,meat_fish,Prisma,,meat_beef_lamb_game,meat_fish
21775,Pirn Packham I klass,Pirn Packham,,meat_fish,Prisma,,meat_other,meat_fish
20494,Pirn Packham I klass 500 g MAHE,Pirn Packham,500 g,meat_fish,Prisma,,meat_other,meat_fish
13972,Plackers hambavahepuhasti 0.5mm 24tk,Plackers,,meat_fish,Prisma,,meat_other,meat_fish
14731,Plackers hambavahepuhasti 0.6mm 24tk,Plackers,,meat_fish,Prisma,,meat_other,meat_fish
64772,"Põdraliha konserv, LINNAMÄE LIHATÖÖSTUS, 240 g",Linnamäe,240 g,meat_fish,"Barbora, Maxima, Prisma, Rimi, Selver",,meat_beef_lamb_game,meat_fish
21935,Podravka kanasupp nuudlitega 62 g,Podravka,62 g,meat_fish,"Coop, Prisma, Rimi, Selver",,meat_poultry,meat_fish
11368,Põltsamaa hapukapsaborš sealihaga 530 g,Põltsamaa,530 g,meat_fish,"Coop, Prisma, Rimi, Selver",,meat_pork,meat_fish
17522,Põltsamaa hernesupp suitsulihaga 530g,Põltsamaa,530 g,meat_fish,"Coop, Selver",,meat_other,meat_fish
1394,Põltsamaa pilaff kanalihaga Fitlap 520g,Põltsamaa,520 g,meat_fish,"Coop, Prisma",,meat_poultry,meat_fish
144440,Põltsamaa rassolnik sealihaga 530 g,Põltsamaa,530 g,meat_fish,"Coop, Prisma",,meat_pork,meat_fish
12475,Põltsamaa värskekapsaborš lihata 530 g,Põltsamaa,530 g,meat_fish,"Coop, Prisma, Rimi, Selver",,meat_other,meat_fish
2690,Põltsamaa värskekapsaborš veiselihaga 530 g,Põltsamaa,530 g,meat_fish,"Coop, Prisma, Rimi, Selver",,meat_beef_lamb_game,meat_fish
42664,PÕNN Ökoloogiline Aedvilja-pastaroog kanalihaga 120 g 8+ 120g,PÕNN Ökoloogiline,120 g,meat_fish,"Coop, Prisma",,meat_poultry,meat_fish
42899,"Põnn Ökoloogiline Aedvilja-pastaroog veiselihaga 190 g, alates 8-elukuust",Põnn Ökoloogiline,190 g,meat_fish,"Coop, Prisma, Selver",,baby_other,baby
17877,Põnn ökoloogiline aedviljapüree kanafileega 190 g 6+,Põnn,190 g,meat_fish,"Coop, Prisma, Selver",,meat_poultry,meat_fish
22232,PÕNN Ökoloogiline Kanalihapüree 120 g 6+ 120g,PÕNN Ökoloogiline,120 g,meat_fish,"Coop, Prisma, Rimi, Selver",,meat_poultry,meat_fish
42984,PÕNN Ökoloogiline Ühepajatoit sealihaga 7+ 130g,PÕNN Ökoloogiline,130 g,meat_fish,"Coop, Prisma",,meat_pork,meat_fish
562778,PÕNN Ökoloogiline Veiselihapüree 120 g 6+ 120g,PÕNN Ökoloogiline,120 g,meat_fish,"Coop, Prisma",,meat_beef_lamb_game,meat_fish
56744,Porokylän gluteenivaba lihapirukas 2x190 g,Porokylän,2x190 g,meat_fish,Prisma,,meat_other,meat_fish
47696,Praetud heeringafilee pallikesed tomatikastmes 430 g,Praetud,430 g,meat_fish,"Coop, Prisma",,fish_fresh,meat_fish
23539,"Praetud heeringafilee tomatikastmes, KALURI, 500 g",Praetud,500 g,meat_fish,"Prisma, Rimi, Selver",,fish_fresh,meat_fish
22261,"Praetud räimed koduses marinaadis, KALURI, 500 g",Praetud,500 g,meat_fish,"Barbora, Maxima, Prisma, Rimi, Selver",,fish_fresh,meat_fish
43606,Presto kanakarri riisiga 300g,Presto,300 g,meat_fish,"Barbora, Coop, Maxima, Prisma, Selver",,meat_poultry,meat_fish
42896,Presto koorene kanapasta 300g,Presto,300 g,meat_fish,"Barbora, Coop, Maxima, Prisma, Selver",,meat_poultry,meat_fish
287,"Presto kõrvitsa risoto rebitud kanalihaga 350g, gluteenivaba",Presto,350 g,meat_fish,"Coop, Prisma, Selver",,meat_poultry,meat_fish
17343,Presto taipärane karri sealihaga 300g,Presto,300 g,meat_fish,"Barbora, Coop, Maxima, Prisma, Selver",,meat_pork,meat_fish
140982,Presto tomatine veiselihapasta 300g,Presto,300 g,meat_fish,"Coop, Prisma, Selver",,meat_beef_lamb_game,meat_fish
13609,Pulkdeodorant David Beckham Respect 75ml,Pulkdeodorant David,75 ml,meat_fish,Prisma,,pcare_deo,personal_care
41017,Pure apelsinimahl viljalihaga 1L,Pure,1 l,meat_fish,"Coop, Prisma, Rimi, Selver",,drinks_other,drinks
13814,Raffini juukseklamber pruun 48 mm 24 tk,Raffini,,meat_fish,Prisma,,pcare_other,personal_care
20976,"Räimed tomatimarinaadis, praetud 430 g",Räimed,430 g,meat_fish,"Prisma, Rimi, Selver",,fish_fresh,meat_fish
272590,"Räimefilee, kg","Räimefilee,",,meat_fish,Prisma,,fish_fresh,meat_fish
55543,"Räimesült, VIRU RAND, 270 g",Räimesült,270 g,meat_fish,"Coop, Prisma, Selver",,fish_fresh,meat_fish
1657,"Räim, kuumsuitsu, kg","Räim,",,meat_fish,Prisma,,fish_salted_smoked,meat_fish
53484,"Rainbow kananagitsad, 440 g",Rainbow,440 g,meat_fish,Prisma,,meat_poultry,meat_fish
20895,"Rainbow täisteralasanjeplaadid 500 g, mahe, ei sisalda kanamune",Rainbow,500 g,meat_fish,Prisma,,meat_poultry,meat_fish
53262,Rakvere Grill-Liha Punase Veini Marinaadis 500G,Rakvere Grill-Liha,500 g,meat_fish,"Barbora, Maxima, Prisma, Selver",,drinks_wine,drinks
3367,Rakvere Hakkliha Sea-Ja Veiselihast 400 G,Rakvere Hakkliha,400 g,meat_fish,Prisma,,meat_minced,meat_fish
1776,Rakvere Kodune Hakkliha 400G,Rakvere Kodune,400 g,meat_fish,"Coop, Prisma, Rimi, Selver",,meat_minced,meat_fish
