product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected
1520,"Hiirte juust, viilutatud, 500 g",Hiirte,500 g,dairy_eggs_fats,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,dairy_cheese_slices,dairy_eggs_fats
1174,Hiirte Sulatatud Juust 185g,Hiirte Sulatatud,185 g,dairy_eggs_fats,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,dairy_cheese_slices,dairy_eggs_fats
9174,Hiirte Sulatatud Juust krevettidega 185g,Hiirte Sulatatud,185 g,dairy_eggs_fats,"Prisma, Selver",,dairy_cheese_slices,dairy_eggs_fats
8504,Hiirte Sulatatud Juust kukeseentega 185g,Hiirte Sulatatud,185 g,dairy_eggs_fats,Prisma,,dairy_cheese_slices,dairy_eggs_fats
10218,Hiirte Sulatatud Juust maitserohelisega 185g,Hiirte Sulatatud,185 g,dairy_eggs_fats,"Coop, Prisma, Rimi, Selver",,dairy_cheese_slices,dairy_eggs_fats
1852,Hiirte Sulatatud Juust suitsujuustuga 185g,Hiirte Sulatatud,185 g,dairy_eggs_fats,"Coop, Prisma, Rimi, Selver",,dairy_cheese_slices,dairy_eggs_fats
3928,"HIIUMAA KÖÖK Juustu-küüslauguvõie, 150 g",HIIUMAA KÖÖK,150 g,dairy_eggs_fats,Prisma,,dairy_butter_margarine,dairy_eggs_fats
2782,HIIUMAA KÖÖK Kohupiimamaius musta sõstraga 150 g,HIIUMAA KÖÖK,150 g,dairy_eggs_fats,Prisma,,dairy_cottage_quark,dairy_eggs_fats
17653,HIPP 1 BIO Combiotik imiku piimasegu al. sünnist,HIPP,,dairy_eggs_fats,Prisma,,baby_formula,baby
17265,HIPP 2 BIO Combiotik jätkupiimasegu al.6k,HIPP,,dairy_eggs_fats,"Coop, Prisma, Selver",,baby_formula,baby
21522,HIPP 3 Junior Combiotic väikelastepiim alates 12-elukuust,HIPP,,dairy_eggs_fats,"Prisma, Rimi",,dairy_milk,dairy_eggs_fats
63889,"HIPP 5-vilja piimapuder ploomi ja probiootikumidega 250 g, alates 6-elukuust",HIPP,250 g,dairy_eggs_fats,Prisma,,dairy_milk,dairy_eggs_fats
1378,"Hipp Combiotic 1 piimasegu 800 g, alates sünnist",Hipp Combiotic,800 g,dairy_eggs_fats,Prisma,,baby_formula,baby
283459,Hipp comfort eripiimasegu al.sünnist300g,Hipp,,dairy_eggs_fats,"Coop, Prisma",,baby_formula,baby
45557,"Hipp head ööd banaani-kuiviku piimapudrupulber 250 g, öko, alates 4-",Hipp,250 g,dairy_eggs_fats,Prisma,,dairy_milk,dairy_eggs_fats
565576,HiPP head ööd teraviljapuder piimasegu ja puuviljadega öko peale 4.k 190g,HiPP,190 g,dairy_eggs_fats,Prisma,,baby_formula,baby
61790,"Hipp kaera-õuna-piimapuder 250g, alates 6-elukuust",Hipp,250 g,dairy_eggs_fats,"Prisma, Rimi",,dairy_milk,dairy_eggs_fats
17749,Hipp Organic Combiotic jätkupiimasegu al.6.k,Hipp Organic,,dairy_eggs_fats,"Prisma, Selver",,baby_formula,baby
583996,"HiPP Piimapudrupulber maisi ja puuviljadega al. 6 kuust, 250 g",HiPP Piimapudrupulber,250 g,dairy_eggs_fats,"Coop, Prisma",,dairy_milk,dairy_eggs_fats
43539,HIPP piimapudrupulber puuviljad jogurtiga BIO 250 g 8k,HIPP,250 g,dairy_eggs_fats,Prisma,,dairy_yogurt_kefir,dairy_eggs_fats
51857,"Hipp puuviljasõber jogurti-kirsi-banaanibatoon 23g, öko, alates 1- eluaastast",Hipp,23 g,dairy_eggs_fats,"Prisma, Rimi",,sweets_chocolate_bars,sweets_snacks
42028,"Hipp tatra piimapudrupulber 250 g, alates 4-elukuust",Hipp,250 g,dairy_eggs_fats,"Coop, Prisma",,dairy_milk,dairy_eggs_fats
9651,Hispaaniapärane juustuvalik 180 g,Hispaaniapärane,180 g,dairy_eggs_fats,Prisma,,dairy_cheese_slices,dairy_eggs_fats
22759,"Holle 2 kitse jätkupiimasegu 400 g, öko, alates 6-elukuust",Holle,400 g,dairy_eggs_fats,"Prisma, Selver",,baby_formula,baby
46004,"Holle piimasegu 1 400 g, alates sünnist",Holle,400 g,dairy_eggs_fats,Prisma,,baby_formula,baby
13372,Ibero juuste tupeerimishari,Ibero,,dairy_eggs_fats,Prisma,,dairy_cheese_slices,dairy_eggs_fats
361526,Indian terav juustudipp 300 g,Indian,300 g,dairy_eggs_fats,Prisma,,dairy_other,dairy_eggs_fats
12534,"Isey Skyr Air kirsi-šokolaadimaitseline piimatoode, laktoosivaba, 125 g",Isey Skyr,125 g,dairy_eggs_fats,Prisma,,sweets_chocolate_bars,sweets_snacks
9932,"Isey Skyr Air sidrunimaitseline laktoosivaba piimatoode, 125 g",Isey Skyr,125 g,dairy_eggs_fats,Prisma,,dairy_milk,dairy_eggs_fats
46787,"Isey Skyr vanillimaitseline piimatoode, laktoosivaba 125 g",Isey Skyr,125 g,dairy_eggs_fats,Prisma,,dairy_milk,dairy_eggs_fats
39995,Jaanihanso Eau De Vie 40%vol Õuna- ja/või pirnisiidrist valmistatud piiritusjook 350ml,Jaanihanso Eau,350 ml,dairy_eggs_fats,Prisma,,dairy_butter_margarine,dairy_eggs_fats
11418,"Jäätisemaitseline AB-jogurt šokolaadiriisipallidega, 165 g",Jäätisemaitseline AB-jogurt,165 g,dairy_eggs_fats,"Coop, Prisma",,frozen_desserts_icecream,frozen_food
1451,Jeppi vanillimaitseline kohupiimadessert 38 g,Jeppi,38 g,dairy_eggs_fats,"Prisma, Rimi",,dairy_cottage_quark,dairy_eggs_fats
3237,Jeppi vanillimaitseline kohupiimadessert multipakk 5 x 38 g,Jeppi,5x38 g,dairy_eggs_fats,Prisma,,dairy_cottage_quark,dairy_eggs_fats
12815,"Jogurtijook 12x100g, maasika-mustika",Jogurtijook,12x100 g,dairy_eggs_fats,"Prisma, Rimi, Selver",,dairy_yogurt_kefir,dairy_eggs_fats
11283,"Jogurtijook 4x100g, maasika",Jogurtijook,4x100 g,dairy_eggs_fats,Prisma,,dairy_yogurt_kefir,dairy_eggs_fats
