product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence,final_food_group,final_sub_code,final_confidence,change_reason
377732,Õuna-maasikasnäkid Fruit Sticks N.A! 35g,Nature Addicts,,Rimi,,,produce,produce_berries,high,produce,produce_berries,high,
377733,"Õlu Saku Originaal 4,7%vol 0,5l prk 6-pakk",Saku,,"Barbora, Maxima, Rimi",,,drinks,drinks_beer_cider,high,drinks,drinks_beer_cider,high,
377734,"Siider Tanker õunasiider 5,5%vol 0,5l prk",Tanker,,Rimi,,,drinks,drinks_beer_cider,high,drinks,drinks_beer_cider,high,
377735,"Alkoholivaba õlu Heineken alk.0,0%vol 0,5l purk",Heineken,,Rimi,,,drinks,drinks_beer_cider,high,drinks,drinks_beer_cider,high,
377736,Kohvikapslid Lungo 6 Classico Jacobs 10tk,Jacobs,,,,,drinks,drinks_coffee_beans_capsules,high,drinks,drinks_coffee_beans_capsules,high,
377737,Kurk Marineeritud Salvest 675g,Salvest,,Rimi,,,produce,produce_root_veg,high,produce,produce_root_veg,high,
377738,Snäkk pro Jahimehe suitsuribi Rakvere 400g,Rakvere,,Rimi,,,meat_fish,meat_pork,high,meat_fish,meat_pork,high,
377739,"Piiritusjook Pipra Naps Ingveriga 35%vol 0,35l",Liviko,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
377740,Kommid piparmündi ja šokolaaditäidisega Fazer Marianne 120g,Fazer Marianne,,Rimi,,,sweets_snacks,sweets_chocolate_bars,high,sweets_snacks,sweets_chocolate_bars,high,
377741,Jätkupiimasegu Tuttteli 4 Junior 24k 300g,Tutteli,,Rimi,,,dairy_eggs_fats,dairy_milk,high,baby,baby_formula,high,override_with_name_rules
377742,"Kaitstud päritolunimetusega vein Montezovo Valpolicella 0,75L",Monte Zovo,,,,,drinks,drinks_wine,high,drinks,drinks_wine,high,
377743,Vahvlitorud piimatäidisega Konafetto 140g,Roshen,,Rimi,,,dairy_eggs_fats,dairy_milk,high,dairy_eggs_fats,dairy_milk,high,
377744,Söögisooda Lombardi 500g,Lombardi Claudio,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
377745,"London gin SÜNK London Dry Gin 41,5%vol 0,5l",Sunk,,Rimi,,,drinks,drinks_spirits,high,drinks,drinks_spirits,high,
377746,Pralineekommid Kalev 175g,Kalev,,Rimi,,,sweets_snacks,sweets_candies,high,sweets_snacks,sweets_candies,high,
377747,"Õunapüree banaani, vaarika ja täisteraviljaga bio Hipp Hippis alates 4. elukuust 100g",Hipp,,Rimi,,,produce,produce_berries,high,produce,produce_berries,high,
377748,Jogurt marja Zott Zottis 400g,Zott,,Rimi,,,dairy_eggs_fats,dairy_yogurt_kefir,high,dairy_eggs_fats,dairy_yogurt_kefir,high,
377749,Magus mango- ja tšillimaitseline kaste Santa Maria 155ml,Santa Maria,,Rimi,,,produce,produce_tropical,high,produce,produce_tropical,high,
377750,Vein Bellissimo White Semi Sweet 1l,Bellissimo,,Rimi,,,drinks,drinks_wine,high,drinks,drinks_wine,high,
377753,"Muu piiritusjook Riga Black Balsam 45% 0,2l",Black Balsam,,"Barbora, Maxima, Rimi",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
377754,Röstitud maapähklid mee ja soolaga Estrella 240g,Estrella,,Rimi,,,sweets_snacks,sweets_nuts_driedfruit,high,sweets_snacks,sweets_nuts_driedfruit,high,
377755,"Õlu Tuborg 4,6% 0,5l",Tuborg,,Rimi,,,drinks,drinks_beer_cider,high,drinks,drinks_beer_cider,high,
377756,Paisutatud nisuhelbed šokolaadis vaarika Suffeli Snacks 140g,Fazer Suffeli,,Rimi,,,dry_preserves,dry_cereals_muesli,high,sweets_snacks,sweets_chocolate_bars,high,override_with_name_rules
377757,"Siirup kookose Monin 0,25l",Monin,,,,,drinks,drinks_syrups_powders,high,drinks,drinks_syrups_powders,high,
377758,Juust Forte Speciale Valio 180g,Valio Forte,,Rimi,,,dairy_eggs_fats,dairy_cheese_slices,high,dairy_eggs_fats,dairy_cheese_slices,high,
377759,"Jäätee tee ekstrakti ja virsikumahlaga Lipton magusainetega 0,5l",Lipton,,Rimi,,,drinks,drinks_tea_coffee,high,drinks,drinks_tea_coffee,high,
377761,Meeste moos 200g,Meeste Moos,,Rimi,,,dry_preserves,dry_other,high,dry_preserves,dry_other,high,
