product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence
53440,"Köögiviljad seemnetega, Fitlap 400 g",Köögiviljad,400 g,produce,"Coop, Prisma, Rimi, Selver",,sweets_nuts_driedfruit,sweets_snacks,produce,produce_root_veg,high
53663,Beyond Meat Burger hernevalgupõhised köögiviljapihvid 2 tk 226 g,Beyond Meat,226 g,produce,Prisma,,meat_other,meat_fish,produce,,heuristic
57449,"Puuviljakokteil nr 1 (ananass, kiivi, viinamari) 300g",Puuviljakokteil,300 g,produce,Prisma,,produce_tropical,produce,produce,produce_tropical,high
59669,Coop tuunikala salat 300g,Coop,300 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
60911,Hipp mini Stars teraviljast ja puuviljast krõbedad tähed mahe1–3a 30g,Hipp,30 g,produce,Prisma,,dry_other,other,produce,,fallback
62331,Rainbow köögivilja-lõhe mahepasta 190g,Rainbow,190 g,produce,Prisma,,fish_fresh,meat_fish,produce,,high
63426,Rainbow köögivilja-mahelasanje 220g,Rainbow,220 g,produce,Prisma,,dry_other,other,produce,,fallback
64791,Pähklite ja puuviljade segu 200 g Pähklinäpp,Pähklite,200 g,produce,"Prisma, Rimi, Selver",,sweets_nuts_driedfruit,sweets_snacks,produce,,high
65527,Hoviruoka Köögiviljapirukas 4 TK,Hoviruoka Köögiviljapirukas,4 pcs,produce,Prisma,,bakery_cakes_pastries,bakery,produce,,high
66345,"Lotte puuviljakommid, maasika 35g",Lotte,35 g,produce,"Prisma, Rimi",,produce_berries,produce,produce,,high
66420,Coop purustatud röstitud sarapuupähklid 80g,Coop,80 g,produce,Prisma,,sweets_nuts_driedfruit,sweets_snacks,produce,,high
67361,Pähklite ja puuviljade segu 500 g Pähklinäpp,Pähklite,500 g,produce,"Coop, Prisma, Selver",,sweets_nuts_driedfruit,sweets_snacks,produce,,high
67786,"Rainbow külmutatud köögiviljad, 450g",Rainbow,450 g,produce,Prisma,,frozen_veg,frozen_food,produce,produce_root_veg,high
68464,HÄRMAVILI Köögiviljad kikerhernestega 400g fitlap,HÄRMAVILI Köögiviljad,400 g,produce,"Coop, Prisma, Rimi, Selver",,dry_groats_beans,dry_preserves,produce,produce_root_veg,high
69434,Meira purustatud sarapuupähkel 80g,Meira,80 g,produce,Prisma,,dry_other,other,produce,,fallback
69850,Marmiton marmelaad puuviljalõigud 150 g,Marmiton,150 g,produce,"Prisma, Rimi, Selver",,dry_other,dry_preserves,produce,,high
72485,Seeberger pähklite ja puuviljade segu 150 g,Seeberger,150 g,produce,Prisma,,sweets_nuts_driedfruit,sweets_snacks,produce,,high
72487,Rio mare mehhikopärane tuunikalasalat 160g,Rio,160 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
78356,Taime- ja puuviljatee Loyd ingveri- ja tsitrusemaitseline 20 x 2g PÜRAMIID,Taime-,20x2 g,produce,Prisma,,drinks_tea_coffee,drinks,produce,,high
79699,Juicy Fruit puuviljamaitseline närimiskumm 56g,Juicy Fruit,56 g,produce,"Coop, Prisma, Rimi, Selver",,dry_other,dry_preserves,produce,,high
80550,"Shahnazaryan Cherry puuvilja- ja marjavein 12,5%vol 750ml",Shahnazaryan Cherry,750 ml,produce,Prisma,,drinks_wine,drinks,produce,,high
87538,"Idamaiste maitseainetega köögiviljad praadimiseks, 400 g",Idamaiste,400 g,produce,"Coop, Prisma, Rimi",,dry_canned_veg,dry_preserves,produce,produce_root_veg,high
88943,Coop tomatikaste köögiviljadega 390g,Coop,390 g,produce,Prisma,,produce_root_veg,produce,produce,produce_root_veg,high
93843,HETKI Meatlovers salat 300 g,HETKI Meatlovers,300 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
107563,Viru Rand Heeringasalat Peediga 360G,Viru Rand,360 g,produce,"Coop, Prisma",,produce_herbs_salads_sprouts,produce,produce,produce_root_veg,high
111784,Felix thousand islandi salatikaste 375 g,Felix,375 g,produce,"Coop, Prisma, Rimi, Selver",,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
117194,"Piltti metsamarja-puuviljapüree lastele 125 g, alates 4-elukuust",Piltti,125 g,produce,Prisma,,dry_other,other,produce,,fallback
125995,Põltsamaa kõrvitsasalat 560/310 g,Põltsamaa,310 g,produce,"Coop, Prisma, Rimi, Selver",,produce_herbs_salads_sprouts,produce,produce,produce_root_veg,high
126206,Koskenkorva Passionfruit liköör 21%vol 500ml,Koskenkorva Passionfruit,500 ml,produce,"Prisma, Selver",,dry_other,other,produce,,fallback
131151,HERBA puuviljatee 50g,HERBA,50 g,produce,"Coop, Prisma, Selver",,drinks_tea_coffee,drinks,produce,,high
135538,Sallinen puuviljade segu 100 g,Sallinen,100 g,produce,Prisma,,dry_other,other,produce,,fallback
146450,"Põnn Ökoloogiline Köögiviljapüree veiselihaga 190 g, alates 6-elukuust",Põnn Ökoloogiline,190 g,produce,"Coop, Prisma",,meat_beef_lamb_game,meat_fish,produce,,high
171786,Mentos Fruit Mix nätsukommid kotis 160 g,Mentos Fruit,160 g,produce,"Coop, Prisma",,sweets_candies,sweets_snacks,produce,,high
175860,HIIUMAA KÖÖK Kartuli-lihasalat 200 g,HIIUMAA KÖÖK,200 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_root_veg,high
190327,Coop närimiskumm Fruity mix ksülitol 130g,Coop,130 g,produce,Prisma,,sweets_gums_mints,sweets_snacks,produce,,high
204717,"Piltti lastetoit veiseliha ja köögiviljadega 125 g, alates 5-elukuust",Piltti,125 g,produce,Prisma,,meat_beef_lamb_game,meat_fish,produce,produce_root_veg,high
213830,USIN Porgandi-ananassisalat 200g,USIN Porgandi-ananassisalat,200 g,produce,Prisma,,produce_tropical,produce,produce,produce_root_veg,high
237456,SIMPL itaaliapärane köögiviljasegu 750 g,SIMPL,750 g,produce,Prisma,,dry_other,other,produce,produce_root_veg,fallback
240278,"Põnn Ökoloogiline Köögiviljapüree lambalihaga 190 g, alates 6-elukuust",Põnn Ökoloogiline,190 g,produce,Prisma,,meat_beef_lamb_game,meat_fish,produce,,high
