product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence,final_food_group,final_sub_code,final_confidence,change_reason,source_file
418216,Habem Geel Nivea Cool Sensitive 200 Ml,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418217,Habem Geel Nivea Men Deep 200 Ml,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418218,Habem Geel Nivea Men Fresh Kick 200 Ml,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418219,Habem Geel Nivea Men Sens 3 P Habe 200 Ml,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418220,Habem Vaht Nivea Cool Sensitive 200 Ml,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418221,Habem Vaht Nivea Men Fresh Kick 200 Ml,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418222,Habemetrimmer Henske Dt 100,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418226,Pardel Bic 3 Action 4 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418227,Pardel Bic Flex 3 Comfort 3 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418228,Pardel Bic Flex 4 Comfort 3 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418229,Pardel Bic Pure 3 Pink 4 2 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418230,Pardel Henske Rscx 902,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418231,Ras Geel Gillette Fusion 5 X Cocoa 200 Ml,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418232,Ras Geel Gillette Fusion Sensitive 200 Ml,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418233,Ras Geel Gillette Fusion Sensitive 75 Ml,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418234,Ras Geel Satin Care Vanilla Cashm 200 Ml,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418253,Terad Gillette Mach 3 Kaepide 5 Terad,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418254,Terad Gillette Mach 3 Terad 5 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418258,Varuterad Gillette Proglide 8 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418259,Varuterad Venus Breeze 8 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418260,Varuterad Venus Extra Smooth Sensit 4 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418261,Varuterad Venus Smooth 8 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418263,Hug Sidemed Libresse Invis Norm Duo 20 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418268,Jalg Keha Vaharibad Veet Minima 12 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418269,Pardel Henske Qcs 0605,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418270,Pardel Philips Oneblade Qp 1324 20,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418271,Ras Geel Gillette Mach 3 Extra Comf 200 Ml,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418290,Terad Gillette Platinum 5 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418291,Terad Venus Swirl 4 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418292,Vaharibad Byphasse Kehale 24 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418293,Vaharibad Byphasse Naole 24 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418294,Varuterad Bic Hybrid Flex 3 Sensit 4 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418295,Varuterad Gillette Mach 3 Charcoal 5 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418296,Varuterad Gillette Sensor 3 Comfort 8 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418297,Varuterad Venus Sugarberry 3 Tk,,,,,,other,dry_other,fallback,produce,produce_berries,high,proposed_group_invalid;override_with_name_rules,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418299,Hug Sidemed Libresse Invis Normal 10 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418300,Hug Sidemed Libresse Natural Care 10 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418301,Hug Sidemed Libresse Natural Care 20 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418302,Hugieenisidemed Always Sensitive S 1 20 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418303,Hugieenisidemed Always Sensitive S 2 16 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418304,Hugieenisidemed Always Ultra S 1 10 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418305,Hugieenisidemed Always Ultra S 1 20 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418306,Hugieenisidemed Always Ultra S 1 40 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418307,Hugieenisidemed Always Ultra S 2 16 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418308,Hugieenisidemed Always Ultra S 2 32 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418309,Hugieenisidemed Always Ultra S 3 14 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418310,Hugieenisidemed Always Ultrasuper S 2 8 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418311,Hugieenisidemed Bella Classic Nova 10 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
418312,Hugieenisidemed Bella Normal Soft 10 Tk,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
