product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence,final_food_group,final_sub_code,final_confidence,change_reason
137797,"Sidrunimahl, FIRST PRICE, 200 ml",SELVER AS,,Selver,,,drinks,drinks_juices,high,dry_preserves,dry_pasta_rice,high,override_with_name_rules
137798,"Sidrunimahl, SICILIA, 200 ml",ABESTOCK AS,,Selver,,,drinks,drinks_juices,high,drinks,drinks_juices,high,
137799,"Sidrunipipar 0% soola, MEIRA, 32 g",MEIRA EESTI OÜ,,Selver,,,world_spices,spices_basic_salt_pepper,high,drinks,drinks_spirits,high,override_with_name_rules
137800,"Sidrunipipar, 55g, SANTA MARIA",SANTA MARIA AS,,Selver,,,world_spices,spices_basic_salt_pepper,high,world_spices,spices_basic_salt_pepper,high,
137801,"Soja joogipulber, MYSOJA, 200 g",D.T.L CONSUMER PRODUCTS EESTI AS,,"Coop, Selver",,,drinks,drinks_syrups_powders,high,drinks,drinks_spirits,high,override_with_name_rules
137802,"Šokolaadipuru, RUF, 200 g",KAUPMEES & KO AS,,Selver,,,sweets_snacks,sweets_chocolate_bars,high,drinks,drinks_spirits,high,override_with_name_rules
137803,"Šokolaadist tilgakesed, RUF, 100 g",KAUPMEES & KO AS,,Selver,,,sweets_snacks,sweets_chocolate_bars,high,drinks,drinks_spirits,high,override_with_name_rules
137804,"Söögisooda, MEIRA, 125 g",MEIRA EESTI OÜ,,"Coop, Selver",,,other,dry_other,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
137805,"Söögisooda, MEIRA, 50 g",MEIRA EESTI OÜ,,"Coop, Selver",,,other,dry_other,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
137806,"Sool Ekstra, KATI, 1 kg",SELVER AS,,"Coop, Selver",,,world_spices,spices_basic_salt_pepper,high,world_spices,spices_basic_salt_pepper,high,
137807,"Sool Rose Salt, 400 g",MOBEC AS,,Selver,,,drinks,drinks_wine,high,drinks,drinks_spirits,high,override_with_name_rules
137808,"Soolamaitseline kartulikrõps Oven Baked, LAY'S, 110 g",,,Selver,,,sweets_snacks,sweets_snacks_salty,high,drinks,drinks_spirits,high,override_with_name_rules
137809,"Soolase karamelli jäätis, NICKS, 292 g",NJOM FOODS OÜ,,Selver,,,frozen_food,frozen_desserts_icecream,high,drinks,drinks_spirits,high,override_with_name_rules
137810,"Soolased salatikorvikesed, FLORA, 140g",SELVER AS,,Selver,,,world_spices,spices_basic_salt_pepper,high,world_spices,spices_basic_salt_pepper,high,
137811,"Sõõrik mangotäidisega 6tk, SELVERI PAGARID, 420 g",MANTINGA EESTI OÜ,,Selver,,,bakery,bakery_sweet_buns_donuts,high,drinks,drinks_spirits,high,override_with_name_rules
137812,"Sõõrik Ring of Sour maasikatäidisega 6tk, sulatatud, SELVERI PAGARID, 390 g",MANTINGA EESTI OÜ,,Selver,,,bakery,bakery_sweet_buns_donuts,high,drinks,drinks_spirits,high,override_with_name_rules
137813,"Sõrnik kohupiimaga, SELVERI PAGARID, ca 75 g",SELVER AS,,Selver,,,dairy_eggs_fats,dairy_cottage_quark,high,drinks,drinks_spirits,high,override_with_name_rules
137814,"Sõstratarretis, SELVERI KÖÖK, 140 g",KULINAARIA OÜ,,Selver,,,other,dry_other,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
137815,"Spagetid, CAMPAGNA, 500 g",SELVER AS,,Selver,,,dry_preserves,dry_pasta_rice,high,drinks,drinks_spirits,high,override_with_name_rules
137816,"Spagetid, FIRST PRICE, 1 kg",SELVER AS,,Selver,,,dry_preserves,dry_pasta_rice,high,dry_preserves,dry_pasta_rice,high,
137817,"Spaghetti (spagett), REGGIA, 5 kg, ettetellitav",M&V TRADE OÜ,,Selver,,,dry_preserves,dry_pasta_rice,high,dry_preserves,dry_pasta_rice,high,
137818,"Spaghetti Tagliati, REGGIA, 5 kg, ettetellitav",M&V TRADE OÜ,,Selver,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
137819,"Sparglilõigud soolvees, FIRST PRICE, 430 g",SELVER AS,,Selver,,,world_spices,spices_basic_salt_pepper,high,drinks,drinks_spirits,high,override_with_name_rules
