product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected
5843,Broileritiiva õlaosa 500g,Broileritiiva,500 g,dry_preserves,Prisma,,oils_other,sauces_oils
8253,Broiler jahutatud kg,Broiler,,dry_preserves,Prisma,,oils_other,sauces_oils
44108,Captain Morgan Black Spiced rumm 40%vol 700ml,Captain Morgan,700 ml,dry_preserves,"Prisma, Rimi, Selver",,drinks_spirits,drinks
45159,Captain Morgan Spiced Gold piiritusjook 35%vol 500ml,Captain Morgan,500 ml,dry_preserves,"Coop, Prisma, Rimi, Selver",,dry_other,dry_preserves
43554,Captain Morgan Spiced Gold rumm 35%vol 700ml,Captain Morgan,700 ml,dry_preserves,"Coop, Prisma, Selver",,drinks_spirits,drinks
142789,Caribba Spiced piiritusjook 35%vol 500ml,Caribba Spiced,500 ml,dry_preserves,"Coop, Prisma",,dry_other,dry_preserves
1512,Carrefour Extra Demerara rafineerimata roosuhkur 500 g,Carrefour Extra,500 g,dry_preserves,Prisma,,dry_flour_sugar_baking,dry_preserves
19694,CHEF LUNDEN Caesari kauss pasta ja broileriga 270 g,CHEF LUNDEN,270 g,dry_preserves,"Coop, Prisma",,oils_other,sauces_oils
3728,Chef Lunden Nuudlikauss Broileriga 280G,Chef Lunden,280 g,dry_preserves,Prisma,,oils_other,sauces_oils
1427,Chef Lunden Pasta Carbonara 250G,Chef Lunden,250 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
310253,Chef Lunden Riisikauss Broileriga 280 G,Chef Lunden,280 g,dry_preserves,"Prisma, Rimi",,oils_other,sauces_oils
21923,Chiavazza pitsajahu 1 kg,Chiavazza,1 kg,dry_preserves,Prisma,,dry_flour_sugar_baking,dry_preserves
30602,Chipstar hapukoore- ja sibulamaitselised riisikrõpsud 60 g,Chipstar,60 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
120655,Chipstar tomatimaitselised riisikrõpsud 60 g,Chipstar,60 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
1086,Ciabatta india pähklite ja jõhvikatega,Ciabatta,,dry_preserves,Prisma,,dry_other,dry_preserves
