product_id,name,brand,size_text,current_food_group,current_sub_code,category_1,category_2,category_3,source_url,image_url,last_seen_utc,food_group,sub_code,food_group_corrected,new_sub_code,confidence,reason,food_group_corrected_prev_v4,new_sub_code_prev_v4,confidence_prev_v4,reason_prev_v4
21907,Meveda Suvine mesi 500g presstuubis,Meveda Suvine,500 g,other,,,,,https://prismamarket.ee/en/toode/meveda-suvine-mesi-500g-presstuubis/4740250000660,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740250000660.jpg,2025-08-28 15:42:55.015363+00,other,,other,dry_other,low,no hard rule match,,,,
21921,Veski mati tatar 1 kg,Veski,1 kg,other,,,,,https://prismamarket.ee/en/toode/veski-mati-tatar-1-kg/4740281006679,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740281006679.jpg,2025-08-28 15:42:57.34851+00,other,,other,dry_other,low,no hard rule match,,,,
21924,"Äyriäistukku paneeritud kalmaarirõngad, 500 g",Äyriäistukku,500 g,other,,,,,https://prismamarket.ee/en/toode/ayriaistukku-paneeritud-kalmaarirongad-500-g/8411076010589,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/8411076010589.jpg,2025-08-28 15:43:01.109848+00,other,,other,dry_other,low,no hard rule match,,,,
21932,Pure via steevia 370 g,Pure,370 g,other,,,,,https://prismamarket.ee/toode/pure-via-steevia-370-g/7630486403366,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7630486403366.jpg,2025-08-28 15:43:05.190753+00,other,,other,dry_other,low,no hard rule match,,,,
21950,Sallinen mandlimass 150 g,Sallinen,150 g,other,,,,,https://prismamarket.ee/en/toode/sallinen-mandlimass-150-g/6436501001101,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6436501001101.jpg,2025-08-28 15:43:09.673646+00,other,,other,dry_other,low,no hard rule match,,,,
21951,Coop riivsai 400g,Coop,400 g,other,,,,,https://prismamarket.ee/en/toode/coop-riivsai-400g/7340191167919,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7340191167919.webp,2025-11-03 02:32:18.287855+00,other,,bakery,bakery_buns_croissants,high,buns/croissants,,,,
21954,Panzani Vermicelli niitnuudlid 500g,Panzani Vermicelli,500 g,other,,,,,https://prismamarket.ee/en/toode/panzani-vermicelli-niitnuudlid-500g/3038351161306,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/3038351161306.jpg,2025-08-28 15:43:13.363477+00,other,,other,dry_other,low,no hard rule match,,,,
21957,Waffa Sofi kuivikud kessu kuivikud sukaadiga 500g,Waffa Sofi,500 g,other,,,,,https://prismamarket.ee/en/toode/waffa-sofi-kuivikud-kessu-kuivikud-sukaadiga-500g/4743144004645,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4743144004645.jpg,2025-11-03 02:32:19.76696+00,other,,other,dry_other,low,no hard rule match,,,,
21963,"Küüslaugu küüned pakitud, 100 g",Küüslaugu,100 g,other,,,,,https://prismamarket.ee/en/toode/kuuslaugu-kuuned-100g/4740270000404,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740270000404.jpg,2025-08-28 15:43:19.720037+00,other,,other,dry_other,low,no hard rule match,,,,
21970,Chippy teraviljapallid kakaoga 250g,Chippy,250 g,other,,,,,https://prismamarket.ee/en/toode/chippy-teraviljapallid-kakaoga-250g/4743144001606,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4743144001606.jpg,2025-10-01 15:22:26.202974+00,other,,other,dry_other,low,no hard rule match,,,,
21972,Brokoli kg,Brokoli,,other,,,,,https://prismamarket.ee/en/toode/brokoli-kg/2060302100004,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/2060302100004.webp,2025-11-03 02:32:22.060329+00,other,,produce,produce_root_veg,high,veg keyword,,,,
22029,Coop kivideta ploomid 250g,Coop,250 g,other,,,,,https://prismamarket.ee/en/toode/coop-kivideta-ploomid-250g/7340191150201,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7340191150201.jpg,2025-08-28 15:43:30.272668+00,other,,other,dry_other,low,no hard rule match,,,,
22036,"Kotimaista kakaopallid, 320 g",Kotimaista,320 g,other,,,,,https://prismamarket.ee/en/toode/kotimaista-kakaopallid-320-g/6415712714970,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6415712714970.jpg,2025-08-28 15:43:35.761654+00,other,,other,dry_other,low,no hard rule match,,,,
22042,Kodune soolatomat 350g,Kodune,350 g,other,,,,,https://prismamarket.ee/en/toode/kodune-soolatomat-350g/4745011037374,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4745011037374.jpg,2025-08-28 15:43:38.370792+00,other,,produce,produce_root_veg,high,fresh tomato,,,,
22045,"Schär riivsai paneerimiseks, gluteenivaba 300g",Schär,300 g,other,,,,,https://prismamarket.ee/en/toode/schar-riivsai-paneerimiseks-gluteenivaba-300g/8008698004753,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/8008698004753.jpg,2025-08-28 15:43:40.291666+00,other,,bakery,bakery_buns_croissants,high,buns/croissants,,,,
22051,"Küüslaugu idandid, LÕUNAIDU, 70 g",Küüslaugu,50 g,other,,,,,https://prismamarket.ee/en/toode/kuuslaugu-idud-50g/6416332001013,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6416332001013.jpg,2025-08-28 15:43:42.718432+00,other,,produce,produce_apples_pears,high,apples/pears,,,,
22054,Mahe kurkum 50g,Mahe,50 g,other,,,,,https://prismamarket.ee/en/toode/mahe-kurkum-50g/7331353800089,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7331353800089.jpg,2025-08-28 15:43:45.092763+00,other,,produce,produce_root_veg,high,cucumber,,,,
22071,Presto presto makaron cornetti 400g,Presto,400 g,other,,,,,https://prismamarket.ee/toode/presto-presto-makaron-cornetti-400g/4750020050351,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4750020050351.jpg,2025-08-28 15:43:49.321443+00,other,,dry_preserves,dry_pasta_rice,high,pasta/rice,,,,
22075,Honest nektar mesi tuubis 100g,Honest,100 g,other,,,,,https://prismamarket.ee/toode/honest-nektar-mesi-tuubis-100g/4742023520368,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4742023520368.jpg,2025-08-28 15:43:51.386317+00,other,,other,dry_other,low,no hard rule match,,,,
22076,Xtra granola choco crunchy 500g,Xtra,500 g,other,,,,,https://prismamarket.ee/toode/xtra-granola-choco-crunchy-500g/7340191159754,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7340191159754.jpg,2025-08-28 15:43:54.565922+00,other,,other,dry_other,low,no hard rule match,,,,
22079,Müller`s mühle läätsed kiirkeedu 500 g,Müller`s,500 g,other,,,,,https://prismamarket.ee/en/toode/mullers-muhle-laatsed-kiirkeedu-500-g/4000286221126,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4000286221126.jpg,2025-08-28 15:43:56.418659+00,other,,other,dry_other,low,no hard rule match,,,,
