product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence,final_food_group,final_sub_code,final_confidence,change_reason
89564,"Searasv, 200 g","Searasv,",200 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
89791,Balbiino jääkuubikud 1kg,Balbiino,1 kg,other,"Prisma, Selver",,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
89894,"Santa Maria peeditortilja, 6 tk 240 g",Santa Maria,240 g,other,Prisma,,bakery_flatbreads_wraps,bakery,bakery,bakery_cakes_pastries,high,drinks,drinks_spirits,high,override_with_name_rules
90198,Santa Maria vokikaste austri ja küüslaugu 150 g,Santa Maria,150 g,other,"Coop, Prisma, Rimi, Selver",,sauces_other,sauces_oils,other,,heuristic,drinks,drinks_spirits,high,override_with_name_rules
90315,Coop Spicy Mango salsa 270g,Coop Spicy,270 g,other,Prisma,,produce_tropical,produce,produce,produce_tropical,high,produce,produce_tropical,high,
90347,Saku On Ice Granaatõuna õlu 4%vol 330ml,Saku On,330 ml,other,"Coop, Prisma",,produce_apples_pears,produce,drinks,drinks_beer_cider,high,drinks,drinks_beer_cider,high,override_with_name_rules
90407,Kummeliõied 20 g,Kummeliõied,20 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
90466,Kinder Bueno boonuspakk 129g,Kinder Bueno,129 g,other,"Coop, Prisma",,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
91018,Löfbergs filtrikohv Kharisma tume röst 500 g,Löfbergs,500 g,other,"Coop, Prisma, Selver",,drinks_other,drinks,other,,heuristic,drinks,drinks_spirits,high,override_with_name_rules
91027,Aura Fresh apelsinimahlajook 2 l,Aura Fresh,2 l,other,Prisma,,produce_tropical,produce,drinks,drinks_juices,high,produce,produce_tropical,high,
91312,Lahustuv viljakohv 150 g,Lahustuv,150 g,other,Prisma,,drinks_other,drinks,other,,heuristic,drinks,drinks_spirits,high,override_with_name_rules
92162,Astri Köök Mannakreem 200 G,Astri Köök,200 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
92367,Jägermeister liköör 35%vol 40ml,Jägermeister,40 ml,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
92783,Braastad Xo Cognac 40%vol 700ml,Braastad Xo,700 ml,other,Prisma,,drinks_spirits,drinks,drinks,drinks_spirits,high,drinks,drinks_spirits,high,
93174,"Vitamineral Detox rohelise tee, sidruni ja mündi maitsega, 750 ml",Vitamineral Detox,750 ml,other,"Coop, Prisma, Selver",,produce_tropical,produce,drinks,drinks_tea_coffee,high,produce,produce_tropical,high,
93364,Jägermeister liköör 35%vol 700ml,Jägermeister,700 ml,other,"Barbora, Maxima, Prisma",,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
94090,"Pepsi cola karastusjook 1,5L",Pepsi,1.5 l,other,"Coop, Prisma",,drinks_soft_soda,drinks,drinks,drinks_soft_soda,high,drinks,drinks_soft_soda,high,
94296,"Don Simon premium virsikunektar 1,5L",Don Simon,1.5 l,other,"Coop, Prisma",,drinks_juices,drinks,drinks,drinks_juices,high,drinks,drinks_juices,high,
