product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence
13840,Varutera 3 Comfortglide breeze 3-teraline 4tk,Varutera,,other,Prisma,,dry_other,other,other,,fallback
13849,Kiss bare but better kunstküüned nude glow,Kiss,,other,Prisma,,sweets_chocolate_bars,sweets_snacks,other,,high
13850,Always ultra normal 1 hügieeniside 36 tk,Always,,other,Prisma,,pcare_feminine_hygiene,personal_care,personal_care,pcare_feminine_hygiene,high
13886,Näogeel-kreem korgitamme ektraktiga 75ml,Näogeel-kreem,75 ml,other,Prisma,,dry_other,other,other,,fallback
13898,Kleenex Ultrasoft Mini salvrätid 4-kihiline 7x10tk,Kleenex Ultrasoft,,other,Prisma,,hh_paper,household,other,,high
13925,"Mf lauvärvi palett nude 3 rose nudes 6,5 g",Mf,6.5 g,other,Prisma,,dry_other,other,drinks,drinks_beer_cider,fallback
13928,O.B. organic super tampoon 16 tk,O.B.,,other,Prisma,,dry_other,other,other,,fallback
13946,Coop mustad kivideta oliivid 235/113g,Coop,113 g,other,Prisma,,dry_other,other,other,,fallback
13952,Inkontinents pesukaitse normal 14tk,Inkontinents,,other,Prisma,,hh_other,household,other,,heuristic
13954,Osis+ juukselakk freeze 500ml,Osis+,500 ml,other,Prisma,,dry_other,other,other,,fallback
13976,Peitepulk Instant Anti Age Eraser 01 Light,Peitepulk Instant,,other,Prisma,,dry_other,other,other,,fallback
13999,Lumene overnight care silma- ja kulmuseerum,Lumene,,other,Prisma,,drinks_spirits,drinks,drinks,drinks_spirits,high
14001,Listerine suuvesi cl&sh 500ml,Listerine,500 ml,other,Prisma,,drinks_water,drinks,personal_care,pcare_oral_care,high
14006,Listerine suuvesi total care 1l,Listerine,1 l,other,Prisma,,drinks_water,drinks,personal_care,pcare_oral_care,high
14016,Vuokkoset Soft pesukaitse 2x42tk,Vuokkoset Soft,,other,Prisma,,hh_other,household,other,,heuristic
14108,Värvipüüdja lehed 32tk,Värvipüüdja,32 pcs,other,Prisma,,dry_other,other,other,,fallback
14111,Xtra Color pesugeel 2l,Xtra Color,2 l,other,Prisma,,hh_laundry,household,household,hh_laundry,high
14116,Domestos Original WC-puhastusvahend 750 ml,Domestos Original,750 ml,other,Prisma,,drinks_spirits,drinks,household,hh_cleaners,high
14151,"Frosch pesugeel sooda 1,5l",Frosch,1.5 l,other,Prisma,,hh_laundry,household,household,hh_laundry,high
14196,Rb wc-geel 750ml,Rb,750 ml,other,Prisma,,dry_other,other,other,,fallback
14218,Libresse String pesukaitse 30tk,Libresse String,,other,Coop,,hh_other,household,other,,heuristic
