left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-kuuslaugupekk-matsimoka-110-g-viil,"Küüslaugupekk MATSIMOKA,110g viil",MATSIMOKA,,Rimi,995493,Küüslaugupekk Matsimoka viil 110g,Matsimoka,110g,strong,1.0
Barbora,https-barbora-ee-toode-voi-mo-saaremaa-kuusl-soolakrist-150-g,"Või MO SAAREMAA küüsl.&soolakrist.,150g",MO SAAREMAA,,Rimi,961157,Või MO Saaremaa küüsl.-soolakrist 150g,MO Saaremaa,150g,strong,1.0
Barbora,https-barbora-ee-toode-pealinna-kook-eesti-pagar-1-1-kg,"Pealinna kook EESTI PAGAR, 1.1kg",EESTI PAGAR,,Rimi,270293,"Kook Pealinna Eesti Pagar 1,1kg",Eesti Pagar,"1,1kg",strong,1.0
Barbora,https-barbora-ee-toode-seahakkliha-m-m-500-g,"Seahakkliha M&M, 500g",MAKS & MOORITS,,Rimi,901869,Seahakkliha M&M 500g,Maks & Moorits,500g,strong,1.0
Barbora,https-barbora-ee-toode-beseepohjad-pavlova-reval-kondiiter-250-g,Beseepõhjad Pavlova REVAL KONDIITER 250g,REVAL KONDIITER,,Rimi,932123,Pavlova beseepõhjad Reval Kondiiter 250g,Reval Kondiiter,250g,strong,1.0
Barbora,https-barbora-ee-toode-must-tume-leib-juuretisega-fazer-500-g,Must Tume leib juuretisega FAZER 500g,FAZER,,Rimi,4008650,Must Tume leib juuretisega Fazer 500g,Fazer,500g,strong,1.0
Barbora,https-barbora-ee-toode-kohupiimakreem-alma-rosina-380-g,"Kohupiimakreem ALMA rosina, 380g",ALMA,,Rimi,296848,Kohupiimakreem rosina Alma 380g,Alma,380g,strong,1.0
Barbora,https-barbora-ee-toode-majonees-juustu-lemmik-200-g,Majonees juustu LEMMIK 200g,LEMMIK,,Rimi,4008441,Majonees juustu Lemmik 200g,Lemmik,200g,strong,1.0
Barbora,https-barbora-ee-toode-prantsuse-pikk-sai-fazer-220-g,Prantsuse pikk sai FAZER 220g,FAZER,,Rimi,4006258,Pikk sai Prantsuse Fazer 220g,Fazer,220g,strong,1.0
Barbora,https-barbora-ee-toode-magus-apelsininektar-aura-1-l,Magus apelsininektar AURA 1L,AURA,,Rimi,139306,Aura magus apelsininektar 1L,Aura,1 l,strong,1.0
Barbora,https-barbora-ee-toode-kohupiimakreem-alma-kakao-380-g,"Kohupiimakreem ALMA kakao, 380g",ALMA,,Rimi,296847,"Kohupiimakreem kakao Alma 2,5% 380g",Alma,380g,strong,1.0
Barbora,https-barbora-ee-toode-juust-valio-edam-200-g,"Juust VALIO Edam, 200g",VALIO,,Rimi,272922,Juust Edam 27% Valio 200g,Valio,200g,strong,1.0
Barbora,000000000000099158,Õunamahl AURA 100% 1L,AURA,,Rimi,101214,Aura õunamahl 1L,Aura,1 l,strong,1.0
Barbora,https-barbora-ee-toode-rostleib-kodu-fazer-340-g,"Röstleib Kodu FAZER, 340g",FAZER,,Rimi,4008163,Kodu Röstleib Fazer 340g,Fazer,340g,strong,1.0
Barbora,https-barbora-ee-toode-suitsuvorsti-kuubikud-oskar-250-g,"Suitsuvorsti kuubikud OSKAR, 250g",OSKAR,,Rimi,910026,Suitsuvorsti kuubikud Oskar 250g,Oskar,250g,strong,1.0
Barbora,https-barbora-ee-toode-maasikajook-limpa-250-ml,Maasikajook LIMPA 250ml,LIMPA,,Rimi,196749,Limpa maasikajook 250ml,Limpa,250 ml,strong,1.0
Barbora,https-barbora-ee-toode-mandariini-nektar-aura-1-l,Mandariini nektar AURA 1l,AURA,,Rimi,198520,Mandariini nektar Aura 1l,Aura,1l,strong,1.0
Barbora,https-barbora-ee-toode-ananassinektar-aura-1-l,Ananassinektar AURA 1L,AURA,,Rimi,160877,Ananassinektar Aura 1l,Aura,1l,strong,1.0
Barbora,000000000000025058,Tomatimahl AURA 1L,AURA,,Rimi,101215,Aura tomatimahl 1L,Aura,1 l,strong,1.0
Barbora,https-barbora-ee-toode-riivjuust-mo-saaremaa-200-g,"Riivjuust MO SAAREMAA, 200g",MO SAAREMAA,,Rimi,206416,Riivjuust MO Saaremaa 24% 200g,MO Saaremaa,200g,strong,1.0
Barbora,https-barbora-ee-toode-pasteet-matsimoka-170-g,"Pasteet MATSIMOKA,170g",MATSIMOKA,,Rimi,994866,Pasteet Matsimoka 170g,Matsimoka,170g,strong,1.0
Barbora,https-barbora-ee-toode-kohupiimakreem-alma-creme-brulee-150-g,"Kohupiimakreem ALMA Creme Brulee, 150g",ALMA,,Rimi,918382,Kohupiimakreem creme brulee Alma 150g,Alma,150g,strong,1.0
Barbora,https-barbora-ee-toode-moonirull-70-g,Moonirull 70g,EESTI PAGAR,,Rimi,277151,Moonirull 70g,Eesti Pagar,70g,strong,1.0
Barbora,https-barbora-ee-toode-lahustuv-kohv-nescafe-gold-100-g,Lahustuv kohv NESCAFE Gold 100g,NESCAFE,,Rimi,186817,Kohv lahustuv Nescafe Gold 100g,Nescafe,100g,strong,1.0
Barbora,https-barbora-ee-toode-vahukreemikringel-eesti-pagar-450-g,"Vahukreemikringel EESTI PAGAR, 450g",EESTI PAGAR,,Rimi,224719,Vahukreemikringel Eesti Pagar 450g,Eesti Pagar,450g,strong,1.0
Barbora,https-barbora-ee-toode-kook-brita-gustav-300-g,Kook Brita GUSTAV 300g,GUSTAV,,Rimi,968296,Brita kook Gustav 300g,Gustav,300g,strong,1.0
Barbora,https-barbora-ee-toode-juust-forte-valio-superiore-180-g,"Juust Forte VALIO Superiore, 180g",VALIO FORTE,,Rimi,904953,Juust Forte Superiore Valio 180g,Valio Forte,180g,strong,1.0
Barbora,https-barbora-ee-toode-majonees-felix-klassikaline-45-proc-830-g,"Majonees FELIX Klassikaline 45%, 830g",FELIX,,Rimi,275648,Majonees klassikaline Felix 830g,Felix,830g,strong,1.0
Barbora,https-barbora-ee-toode-kiievi-kotlet-kikas-220-g,"Kiievi kotlet KIKAS, 220g",KIKAS,,Rimi,903289,Kotlet kiievi Kikas 220g,Kikas,220g,strong,1.0
Barbora,https-barbora-ee-toode-koorejaatis-eriti-rammus-vanilli-100-g,"Koorejäätis ERITI RAMMUS vanilli, 100g",ERITI RAMMUS,,Rimi,278585,Koorejäätis vanilli Eriti Rammus 100g,Eriti Rammus,100g,strong,1.0
Barbora,000000000000014321,Lahustuv kohv NESCAFÉ® CLASSIC 100g,NESCAFE,,Rimi,101092,Kohv lahustuv Nescafé Classic 100g,Nescafe,100g,strong,1.0
Barbora,000000000000068761,Kohvivalgendaja COFFEETA 200g,COFFEETA,,Rimi,136825,Kohvivalgendaja Coffeeta 200g,Coffeeta,200g,strong,1.0
Barbora,https-barbora-ee-toode-suitsusink-rakvere-350-g,"Suitsusink RAKVERE, 350g",RAKVERE,,Rimi,285773,Suitsusink Rakvere 350g,Rakvere,350g,strong,1.0
Barbora,000000000000126806,"Jahvatatud kohv Rich Aroma DAVIDOFF,250g",DAVIDOFF,,Rimi,115028,Kohv jahvatatud Davidoff Rich Aroma 250g,Davidoff,250g,strong,1.0
Barbora,https-barbora-ee-toode-kodujuust-farmi-roosa-koorega-330-g,"Kodujuust FARMI rõõsa koorega, 330g",FARMI,,Rimi,907001,Kodujuust rõõsa koorega Farmi 330g,Farmi,330g,strong,1.0
Barbora,https-barbora-ee-toode-sulatatud-juust-valio-185-g,"Sulatatud juust VALIO, 185g",VALIO,,Rimi,997570,Valio sulatatud juust 185g,Valio,185 g,strong,1.0
Barbora,https-barbora-ee-toode-toorjuust-piimameister-otto-400-g,"Toorjuust PIIMAMEISTER OTTO , 400g",PIIMAMEISTER OTTO,,Rimi,916725,Toorjuust Piimameister Otto 400g,Piimameister Otto,400g,strong,1.0
Barbora,https-barbora-ee-toode-suitsusingike-rakvere-350-g,"Suitsusingike RAKVERE, 350g",RAKVERE,,Rimi,285772,Suitsusingike Rakvere 350g,Rakvere,350g,strong,1.0
Barbora,https-barbora-ee-toode-jogurt-mango-passioni-nopri-750-ml,Jogurt Mango-passioni NOPRI 750ml,NOPRI,,Rimi,4003661,Jogurt mango-passioni Nopri 750ml,Nopri,750ml,strong,1.0
Barbora,https-barbora-ee-toode-juust-forte-valio-classico-180-g,"Juust Forte VALIO Classico, 180g",VALIO FORTE,,Rimi,904952,Juust Forte Classico Valio 180g,Valio Forte,180g,strong,1.0
Barbora,https-barbora-ee-toode-puding-farmi-koorene-vanilje-230-g,"Puding FARMI koorene vanilje, 230g",FARMI,,Rimi,901958,Koorene vanilje puding Farmi 230g,Farmi,230g,strong,1.0
Barbora,https-barbora-ee-toode-meekook-eesti-pagar-1-kg,"Meekook EESTI PAGAR, 1kg",EESTI PAGAR,,Rimi,286024,Meekook Eesti Pagar 1kg,Eesti Pagar,1kg,strong,1.0
Barbora,https-barbora-ee-toode-delikatess-sult-noo-300-g,"Delikatess-sült NÕO, 300g",NÕO,,Rimi,982237,Delikatess-sült Nõo 300g,Nõo,300g,strong,1.0
Barbora,https-barbora-ee-toode-lastevorst-woro-600-g,"Lastevorst WÕRO, 600g",WÕRO,,Rimi,4002463,Lastevorst Wõro 600g,Wõro,600g,strong,1.0
Barbora,https-barbora-ee-toode-truhvlitort-reval-kondiiter-500-g,"Trühvlitort REVAL KONDIITER, 500g",REVAL KONDIITER,,Rimi,4001139,Trühvlitort Reval Kondiiter 500g,Reval Kondiiter,500g,strong,1.0
Barbora,https-barbora-ee-toode-peenleib-juuretise-fazer-500-g,Peenleib juuretise FAZER 500g,FAZER,,Rimi,4006278,Peenleib juuretise Fazer 500g,Fazer,500g,strong,1.0
Barbora,https-barbora-ee-toode-ounajook-poltsamaa-200-ml,Õunajook PÕLTSAMAA 200ml,PÕLTSAMAA,,Rimi,101280,Põltsamaa õunajook 200ml,Põltsamaa,200 ml,strong,1.0
Barbora,https-barbora-ee-toode-kohupiim-farmi-5-proc-200-g,"Kohupiim FARMI 5%, 200g",FARMI,,Rimi,915714,Kohupiim 5% Farmi 200g,Farmi,200g,strong,1.0
Barbora,https-barbora-ee-toode-koorene-jogurt-farmi-virsikutega-400-g,"Koorene jogurt FARMI virsikutega, 400g",FARMI,,Rimi,272890,FARMI koorene jogurt virsikutega 4% 400g,FARMI,400 g,strong,1.0
Barbora,https-barbora-ee-toode-toorvorstid-juustuga-laste-noo-400-g,"Toorvorstid juustuga Laste NÕO,400g",NÕO,,Rimi,999113,Laste toorvorstid juustuga Nõo 400g,Nõo,400g,strong,1.0
Barbora,https-barbora-ee-toode-lahustuv-kohv-fine-aroma-davidoff-100-g,"Lahustuv kohv Fine Aroma DAVIDOFF,100g",DAVIDOFF,,Rimi,128081,Kohv lahustuv Davidoff Fine Aroma 100g,Davidoff,100g,strong,1.0
Barbora,https-barbora-ee-toode-taimne-maare-philadelphia-145-g,Taimne määre PHILADELPHIA 145g,PHILADELPHIA,,Rimi,4006672,Taimne määre Philadelphia 145g,Philadelphia,145g,strong,1.0
Barbora,https-barbora-ee-toode-paprikakaste-felix-275-g,Paprikakaste FELIX 275g,FELIX,,Rimi,186467,Paprikakaste Felix 275g,Felix,275g,strong,1.0
Barbora,https-barbora-ee-toode-juust-taispiimast-alma-viilutatud-500-g,"Juust täispiimast ALMA viilutatud, 500g",ALMA,,Rimi,944051,Juust täispiimast viilutatud Alma 500g,Alma,500g,strong,1.0
Barbora,https-barbora-ee-toode-juustudipp-merevaik-cheddari-200-g,"Juustudipp MEREVAIK Cheddari, 200g",MEREVAIK,,Rimi,949306,Juustudipp Cheddari Merevaik 200g,Merevaik,200g,strong,1.0
Barbora,https-barbora-ee-toode-napoleoni-kook-eesti-pagar-1-2-kg,"Napoleoni kook EESTI PAGAR, 1.2kg",EESTI PAGAR,,Rimi,912289,"Napoleoni kook Eesti Pagar 1,2kg",Eesti Pagar,"1,2kg",strong,1.0
Barbora,https-barbora-ee-toode-jogurt-activia-metsamarja-4-x-120-g,"Jogurt ACTIVIA metsamarja, 4x120g",ACTIVIA,,Rimi,971690,Jogurt metsamarja Activia 4x120g,Activia,4x120g,strong,1.0
Barbora,https-barbora-ee-toode-juuretisesai-fazer-500-g,Juuretisesai FAZER 500g,FAZER,,Rimi,4006264,Juuretisesai Fazer 500g,Fazer,500g,strong,1.0
Barbora,https-barbora-ee-toode-delikatessrulaad-tallegg-500-g,"Delikatessrulaad TALLEGG, 500g",TALLEGG,,Rimi,912505,Tallegg delikatessrulaad 500g,Tallegg,500g,strong,1.0
Barbora,https-barbora-ee-toode-kaerasepik-eesti-pagar-300-g,Kaerasepik EESTI PAGAR 300g,Eesti Pagar,,Rimi,971850,Kaerasepik Eesti Pagar 300g,Eesti Pagar,300g,strong,1.0
Barbora,https-barbora-ee-toode-kreeka-jogurt-alma-maitsestamata-370-g,"Kreeka jogurt ALMA maitsestamata, 370g",ALMA,,Rimi,917033,Kreeka jogurt maitsestamata Alma 370g,Alma,370g,strong,1.0
Barbora,https-barbora-ee-toode-kali-a-le-coq-klassikaline-1-l,Kali A. LE COQ KLASSIKALINE 1L,A. LE COQ,,Rimi,1356550,Kali A.Le.Coq Klassikaline 1l,A. Le Coq,1l,strong,1.0
Barbora,https-barbora-ee-toode-kodujuust-alma-hapukoorega-380-g,"Kodujuust ALMA hapukoorega, 380g",ALMA,,Rimi,901632,Kodujuust hapukoorega Alma 7% 380g,Alma,380g,strong,1.0
Barbora,https-barbora-ee-toode-juustupall-kikas-300-g,"Juustupall KIKAS, 300g",KIKAS,,Rimi,979862,Juustupall Kikas 300g,Kikas,300g,strong,1.0
Barbora,000000000000025057,Apelsinimahl AURA 1L,AURA,,Rimi,101224,Aura apelsinimahl 1L,Aura,1 l,strong,1.0
