left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,000000000001378337,Punase peakapsa Kimchi 300g,KADARBIKU,,Selver,4.74237E+12,"Punase peakapsa Kimchi, KADARBIKU KÃ–Ã–GIVILI, 300g",KADARBIKU KÃ–Ã–GIVILI OÃœ,,weak,0.6667
Barbora,000000000001284310,"KÃ¼lm.Å¡okolaadisaiake EESTI PAGAR, 240g",EESTI PAGAR,,Selver,4.74009E+12,"Å okolaadisaiake vÃµiga, EESTI PAGAR, 240 g",EESTI PAGAR AS,,weak,0.5
Barbora,000000000000038223,KPN vein EL COTO Blanco Rioja 750ml,EL COTO,,Selver,8.41054E+12,El Coto Rioja Blanco 75 cl,MEDIATO AS,,weak,0.5
Barbora,https-barbora-ee-toode-kuuslaugu-urtide-kaste-hellmann-s-260-g,KÃ¼Ã¼slaugu&Ã¼rtide kaste HELLMANN'S 260g,HELLMANN'S,,Selver,8.7112E+12,"KÃ¼Ã¼slaugu-Ã¼rdi kaste, HELLMANN'S, 250 ml",UNILEVER EESTI OÃœ,,weak,0.5714
Barbora,https-barbora-ee-toode-vin-vorst-iberico-fuetec-elpozo-150-g,"Vin. vorst Iberico Fuetec ELPOZO, 150 g",ELPOZO,,Selver,8.41084E+12,"Salaami Fuetec Iberico, ELPOZO, 150 g",Fuetec Iberico,,weak,0.5
Barbora,https-barbora-ee-toode-pr-raimed-tomatikastmes-kaluri-500-g,"Pr.rÃ¤imed tomatikastmes KALURI,500g",KALURI,,Selver,4.74059E+12,"Praetud rÃ¤imed tomatikastmes, KALURI, 500 g",LÃ„Ã„TSA KALATÃ–Ã–STUS AS,,weak,0.5
Barbora,https-barbora-ee-toode-kohvioad-arabica-selected-paulig-1-kg,Kohvioad Arabica Selected PAULIG 1kg,PAULIG,,Selver,6.4113E+12,"Kohviuba Arabica Selected, PAULIG, 1 kg",PAULIG COFFEE ESTONIA AS,,weak,0.5
Barbora,000000000001025726,"KÃ¼lm.Panko kalafileepulgad VICI,285g",VICI,,Selver,4.74006E+12,"Kalafileepulgad Panko paneeringus, VICI, 285 g",VICIUNAI BALTIC OÃœ,,weak,0.5
Barbora,https-barbora-ee-toode-kulmutatud-kalapulgad-esva-250-g,"KÃ¼lmutatud kalapulgad ESVA, 250g",ESVA,,Selver,4.74006E+12,"Esva Silver kalapulgad, 250g",Esva Silver,250 g,weak,0.6
Barbora,https-barbora-ee-toode-jahvatatud-kohv-jacobs-kronung-mild-500-g,Jahvatatud kohv JACOBS Kronung Mild 500g,JACOBS,,Selver,8.711E+12,"Jahvatatud kohv KrÃ¶nung mild, JACOBS, 500 g",SELVER AS,,weak,0.5714
Barbora,https-barbora-ee-toode-pirni-ounamahlajook-aura-fresh-2-l,Pirni-Ãµunamahlajook AURA Fresh 2L,AURA,,Selver,4.7401E+12,Aura Fresh pirni-Ãµuna mahlajook 2L,Aura Fresh,2 L,weak,0.5714
Barbora,https-barbora-ee-toode-koorejogurt-muah-barbarissi-alma-180-g,Koorejogurt Muah barbarissi ALMA 180g,ALMA,,Selver,4.74013E+12,"Koorejogurt muah troopiline, ALMA, 180 g",VALIO EESTI AS,,weak,0.5
Barbora,000000000000382955,Mineraalvesi VÃ„RSKA originaal 500ml,VÃ„RSKA ORIGINAAL,,Selver,4.74004E+12,"VÃ¤rska Originaal karboniseeritud mineraalvesi, 500 ml",VÃ¤rska Originaal,500 ml,weak,0.6
Barbora,https-barbora-ee-toode-rebitud-kanatu-thormi-200-g,Rebitud kanatu THORMI 200g,THORMI,,Selver,4.74501E+12,Thormi taimne rebitud kanatu 200 g,Thormi,200 g,weak,0.6
Barbora,https-barbora-ee-toode-mineraalvesi-vichy-looduslik-g-tud-1-5-l,Mineraalvesi VICHY Looduslik g-tud 1.5L,VICHY,,Selver,4.74002E+12,"Vichy Looduslik Mineraalvesi 1,5L PET",Vichy Looduslik,1.5 L,weak,0.6667
Barbora,https-barbora-ee-toode-viin-laua-40-proc-200-ml,Viin LAUA 40% 200ml,LAUA VIIN,,Selver,4.74005E+12,"Laua Viin 40%vol 200ml, PET",Laua Viin,200 ml,weak,0.6
Barbora,https-barbora-ee-toode-pitsakate-noo-300-g,"Pitsakate NÃ•O, 300g",NÃ•O,,Selver,4.74057E+12,"Pitsakate, NÃ•O, 300 g",NÃµo Pitsakate,300 g,weak,0.6667
Barbora,https-barbora-ee-toode-whisky-tullamore-dew-40-proc-500-ml,Whisky TULLAMORE DEW 40% 500ml,TULLAMORE,,Selver,5.39152E+12,Tullamore Dew Irish Whisky 40%vol 500ml,Tullamore Dew,,weak,0.6667
Barbora,000000000000068761,Kohvivalgendaja COFFEETA 200g,COFFEETA,,Selver,https://www.selver.ee/kohvivalgendaja-coffeeta-400-g,"Kohvivalgendaja, COFFEETA, 400 g",OSAMA EESTI OÃœ,,weak,0.6667
Barbora,https-barbora-ee-toode-tarrejanks-tutti-frutti-tarretis-150-g,"TarreJÃ¤nks Tutti - Frutti tarretis, 150g",JÃ„NKS,,Selver,4.74011E+12,"Tarretis tutti-frutti, JÃ„NKS, 150 g",FARMI PIIMATÃ–Ã–STUS AS,,weak,0.5
Barbora,https-barbora-ee-toode-delikatess-seahakkliha-m-m-300-g,"Delikatess seahakkliha M&M, 300g",MAKS & MOORITS,,Selver,4.74017E+12,Ma&orits Delikatess Seahakkliha 300G,Ma&orits Delikatess,300 g,weak,0.5
Barbora,000000000000014419,Vermut Martini Extra Dry 1L,MARTINI,,Selver,7.63004E+12,"MARTINI Extra Dry, 100 cl",LIVIKO AS,,weak,0.5
Barbora,https-barbora-ee-toode-pereviiner-rakvere-500-g,"Pereviiner RAKVERE, 500g",RAKVERE,,Selver,4.74E+12,Rakvere Pereviiner 500 G,Rakvere Pereviiner,500 g,weak,0.6667
Barbora,000000000000027644,Kohvioad Arabica PAULIG 1kg,PAULIG,,Selver,6.41847E+12,Paulig kohvioad Arabica keskmine rÃ¶st 1 kg,Paulig,1 kg,weak,0.5
Barbora,000000000001177251,"KÃ¼lmutatud mini-frikadellid EHE, 350g",RANNAROOTSI,,Selver,4.7403E+12,"KÃ¼lmutatud EHE mini-frikadellid, RANNAROOTSI EHE, 350 g",RANNAROOTSI LIHATÃ–Ã–STUS AS,,weak,0.6667
Barbora,https-barbora-ee-toode-must-tee-earl-grey-lemon-lipton-25-x-2-g,"Must tee Earl Grey Lemon LIPTON,25x2g",LIPTON,,Selver,8.72061E+12,"Tee Earl Grey Lemon niidiga kotis 25pk, LIPTON, 50 g",MOBEC AS,,weak,0.5
Barbora,000000000000182308,"Greip punane suur Star Ruby 1kl, kg",,,Selver,https://www.selver.ee/greip-star-ruby-kg,"Greip Star Ruby, kg",MÃ¤Ã¤ramata,,weak,0.5
Barbora,000000000001177252,"KÃ¼lmutatud mini-pelmeenid EHE, 350g",RANNAROOTSI,,Selver,4.7403E+12,"KÃ¼lmutatud EHE mini-pelmeenid, RANNAROOTSI EHE, 350 g",RANNAROOTSI LIHATÃ–Ã–STUS AS,,weak,0.6667
